GSM_ID,SRR_ID,Sample_Name,Genotype,Tissue,Replicate
GSM3291653,SRR7540620,KO_Hippocampus_Rep1,KO,Hippocampus,1
GSM3291654,SRR7540621,KO_Hippocampus_Rep2,KO,Hippocampus,2
GSM3291655,SRR7540622,KO_Hippocampus_Rep3,KO,Hippocampus,3
GSM3291656,SRR7540623,KO_Hippocampus_Rep4,KO,Hippocampus,4
GSM3291657,SRR7540624,KO_Hippocampus_Rep5,KO,Hippocampus,5
GSM3291658,SRR7540625,KO_Hippocampus_Rep6,KO,Hippocampus,6
GSM3291659,SRR7540626,KO_Hippocampus_Rep7,KO,Hippocampus,7
GSM3291660,SRR7540627,KO_Hippocampus_Rep8,KO,Hippocampus,8
GSM3291661,SRR7540628,KO_Hippocampus_Rep9,KO,Hippocampus,9
GSM3291662,SRR7540629,KO_Hippocampus_Rep10,KO,Hippocampus,10
GSM3291663,SRR7540630,KO_Prefrontal-Cortex_Rep1,KO,Prefrontal-Cortex,1
GSM3291664,SRR7540631,KO_Prefrontal-Cortex_Rep2,KO,Prefrontal-Cortex,2
GSM3291665,SRR7540632,KO_Prefrontal-Cortex_Rep3,KO,Prefrontal-Cortex,3
GSM3291666,SRR7540633,KO_Prefrontal-Cortex_Rep4,KO,Prefrontal-Cortex,4
GSM3291667,SRR7540634,KO_Prefrontal-Cortex_Rep5,KO,Prefrontal-Cortex,5
GSM3291668,SRR7540635,KO_Prefrontal-Cortex_Rep6,KO,Prefrontal-Cortex,6
GSM3291669,SRR7540636,KO_Prefrontal-Cortex_Rep7,KO,Prefrontal-Cortex,7
GSM3291670,SRR7540637,KO_Prefrontal-Cortex_Rep8,KO,Prefrontal-Cortex,8
GSM3291671,SRR7540638,KO_Prefrontal-Cortex_Rep9,KO,Prefrontal-Cortex,9
GSM3291672,SRR7540639,KO_Prefrontal-Cortex_Rep10,KO,Prefrontal-Cortex,10
GSM3291673,SRR7540640,KO_Striatum_Rep1,KO,Striatum,1
GSM3291674,SRR7540641,KO_Striatum_Rep2,KO,Striatum,2
GSM3291675,SRR7540642,KO_Striatum_Rep3,KO,Striatum,3
GSM3291676,SRR7540643,KO_Striatum_Rep4,KO,Striatum,4
GSM3291677,SRR7540644,KO_Striatum_Rep5,KO,Striatum,5
GSM3291678,SRR7540645,KO_Striatum_Rep6,KO,Striatum,6
GSM3291679,SRR7540646,KO_Striatum_Rep7,KO,Striatum,7
GSM3291680,SRR7540647,KO_Striatum_Rep8,KO,Striatum,8
GSM3291681,SRR7540648,KO_Striatum_Rep9,KO,Striatum,9
GSM3291682,SRR7540649,KO_Striatum_Rep10,KO,Striatum,10
GSM3291683,SRR7540650,WT_Hippocampus_Rep1,WT,Hippocampus,1
GSM3291684,SRR7540651,WT_Hippocampus_Rep2,WT,Hippocampus,2
GSM3291685,SRR7540652,WT_Hippocampus_Rep3,WT,Hippocampus,3
GSM3291686,SRR7540653,WT_Hippocampus_Rep4,WT,Hippocampus,4
GSM3291687,SRR7540654,WT_Hippocampus_Rep5,WT,Hippocampus,5
GSM3291688,SRR7540655,WT_Hippocampus_Rep6,WT,Hippocampus,6
GSM3291689,SRR7540656,WT_Hippocampus_Rep7,WT,Hippocampus,7
GSM3291690,SRR7540657,WT_Hippocampus_Rep8,WT,Hippocampus,8
GSM3291691,SRR7540658,WT_Hippocampus_Rep9,WT,Hippocampus,9
GSM3291692,SRR7540659,WT_Hippocampus_Rep10,WT,Hippocampus,10
GSM3291693,SRR7540660,WT_Prefrontal-Cortex_Rep1,WT,Prefrontal-Cortex,1
GSM3291694,SRR7540661,WT_Prefrontal-Cortex_Rep2,WT,Prefrontal-Cortex,2
GSM3291695,SRR7540662,WT_Prefrontal-Cortex_Rep3,WT,Prefrontal-Cortex,3
GSM3291696,SRR7540663,WT_Prefrontal-Cortex_Rep4,WT,Prefrontal-Cortex,4
GSM3291697,SRR7540664,WT_Prefrontal-Cortex_Rep5,WT,Prefrontal-Cortex,5
GSM3291698,SRR7540665,WT_Prefrontal-Cortex_Rep6,WT,Prefrontal-Cortex,6
GSM3291699,SRR7540666,WT_Prefrontal-Cortex_Rep7,WT,Prefrontal-Cortex,7
GSM3291700,SRR7540667,WT_Prefrontal-Cortex_Rep8,WT,Prefrontal-Cortex,8
GSM3291701,SRR7540668,WT_Prefrontal-Cortex_Rep9,WT,Prefrontal-Cortex,9
GSM3291702,SRR7540669,WT_Prefrontal-Cortex_Rep10,WT,Prefrontal-Cortex,10
GSM3291703,SRR7540670,WT_Striatum_Rep1,WT,Striatum,1
GSM3291704,SRR7540671,WT_Striatum_Rep2,WT,Striatum,2
GSM3291705,SRR7540672,WT_Striatum_Rep3,WT,Striatum,3
GSM3291706,SRR7540673,WT_Striatum_Rep4,WT,Striatum,4
GSM3291707,SRR7540674,WT_Striatum_Rep5,WT,Striatum,5
GSM3291708,SRR7540675,WT_Striatum_Rep6,WT,Striatum,6
GSM3291709,SRR7540676,WT_Striatum_Rep7,WT,Striatum,7
GSM3291710,SRR7540677,WT_Striatum_Rep8,WT,Striatum,8
GSM3291711,SRR7540678,WT_Striatum_Rep9,WT,Striatum,9
GSM3291712,SRR7540679,WT_Striatum_Rep10,WT,Striatum,10
