SRR7540620	WT_Prefrontal-Cortex_Rep1
SRR7540621	WT_Prefrontal-Cortex_Rep2
SRR7540622	WT_Prefrontal-Cortex_Rep3
SRR7540623	KO_Prefrontal-Cortex_Rep1
SRR7540624	WT_Prefrontal-Cortex_Rep4
SRR7540625	WT_Prefrontal-Cortex_Rep5
SRR7540626	WT_Prefrontal-Cortex_Rep6
SRR7540627	KO_Prefrontal-Cortex_Rep2
SRR7540628	KO_Prefrontal-Cortex_Rep3
SRR7540629	KO_Prefrontal-Cortex_Rep4
SRR7540630	WT_Prefrontal-Cortex_Rep7
SRR7540631	WT_Prefrontal-Cortex_Rep8
SRR7540632	WT_Prefrontal-Cortex_Rep9
SRR7540633	KO_Prefrontal-Cortex_Rep5
SRR7540634	KO_Prefrontal-Cortex_Rep6
SRR7540635	KO_Prefrontal-Cortex_Rep7
SRR7540636	WT_Prefrontal-Cortex_Rep10
SRR7540637	KO_Prefrontal-Cortex_Rep8
SRR7540638	KO_Prefrontal-Cortex_Rep9
SRR7540639	KO_Prefrontal-Cortex_Rep10
SRR7540640	WT_Striatum_Rep1
SRR7540641	WT_Striatum_Rep2
SRR7540642	WT_Striatum_Rep3
SRR7540643	KO_Striatum_Rep1
SRR7540644	WT_Striatum_Rep4
SRR7540645	WT_Striatum_Rep5
SRR7540646	WT_Striatum_Rep6
SRR7540647	KO_Striatum_Rep2
SRR7540648	KO_Striatum_Rep3
SRR7540649	KO_Striatum_Rep4
SRR7540650	WT_Striatum_Rep7
SRR7540651	WT_Striatum_Rep8
SRR7540652	WT_Striatum_Rep9
SRR7540653	KO_Striatum_Rep5
SRR7540654	KO_Striatum_Rep6
SRR7540655	KO_Striatum_Rep7
SRR7540656	WT_Striatum_Rep10
SRR7540657	KO_Striatum_Rep8
SRR7540658	KO_Striatum_Rep9
SRR7540659	KO_Striatum_Rep10
SRR7540660	WT_Hippocampus_Rep1
SRR7540661	WT_Hippocampus_Rep2
SRR7540662	WT_Hippocampus_Rep3
SRR7540663	KO_Hippocampus_Rep1
SRR7540664	WT_Hippocampus_Rep4
SRR7540665	WT_Hippocampus_Rep5
SRR7540666	WT_Hippocampus_Rep6
SRR7540667	KO_Hippocampus_Rep2
SRR7540668	KO_Hippocampus_Rep3
SRR7540669	KO_Hippocampus_Rep4
SRR7540670	WT_Hippocampus_Rep7
SRR7540671	WT_Hippocampus_Rep8
SRR7540672	WT_Hippocampus_Rep9
SRR7540673	KO_Hippocampus_Rep5
SRR7540674	KO_Hippocampus_Rep6
SRR7540675	KO_Hippocampus_Rep7
SRR7540676	WT_Hippocampus_Rep10
SRR7540677	KO_Hippocampus_Rep8
SRR7540678	KO_Hippocampus_Rep9
SRR7540679	KO_Hippocampus_Rep10
