Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000107331.1,795.3270115095282,0.8008115198628349,0.11555352823715687,6.930221275626352,4.201828623308751e-12,1.0042970670939818e-08
ENSMUSG00000037605.16,3104.592222993396,-1.7176883235210605,0.046100912349123335,-37.259313015607255,7.487633231896576e-304,1.2527559160286162e-299
ENSMUSG00000106746.1,46.69397016713013,-4.774971452685397,0.28806147874045623,-16.57622349771957,1.0353405321862994e-61,8.661141222004487e-58
ENSMUSG00000043635.12,628.791665617641,-0.5078648687917412,0.08530753156491065,-5.953341510125703,2.627222717957049e-09,3.6630052745116153e-06
ENSMUSG00000035505.14,526.808254113441,0.8115759443458359,0.07574115607788026,10.715124859083735,8.644054364222459e-27,4.820789118926865e-23
ENSMUSG00000029413.14,1070.7814258610051,-0.5479518152938035,0.0633903842664704,-8.64408414043384,5.423857686844699e-18,1.5124427159766444e-14
ENSMUSG00000047963.7,202.65991148139335,2.0781750868153006,0.2044818084742561,10.163129435922116,2.8962789744547185e-24,1.2114410880400474e-20
ENSMUSG00000087611.1,17.09916283276777,-2.5857092315335004,0.6211354979119472,-4.16287467102718,3.14265879777881e-05,0.012519005796580301
ENSMUSG00000106164.1,19.309008032703638,-2.6394385294500524,0.5758661652535618,-4.583423525651783,4.57424224355891e-06,0.002551054899232804
ENSMUSG00000033540.18,303.82477743298887,-0.7190026971058702,0.12793829766210302,-5.619917649715986,1.910485006515882e-08,1.9977702902510765e-05
ENSMUSG00000048215.14,15.447662653511049,-1.593928981868913,0.33927537658253576,-4.6980390912075425,2.6267116557644267e-06,0.001627685656022023
ENSMUSG00000098027.1,69.67730621109739,-1.1755874686693935,0.22619448718962862,-5.197241910161354,2.0226707420863443e-07,0.0001880072454769257
ENSMUSG00000067274.10,4195.479627763874,-0.6726167108906018,0.10647969697990818,-6.316854104285429,2.6694136947707044e-10,4.466196052720865e-07
ENSMUSG00000041548.4,512.2171337029461,-0.9449110253840893,0.16552710855227473,-5.7084971377101,1.1397809449846166e-08,1.3621196421812587e-05
ENSMUSG00000063696.7,328.28697477116646,4.191079741376953,1.0323507713731266,4.059743894802742,4.9126569688301846e-05,0.017488013562871878
ENSMUSG00000084020.3,98.97302098125552,3.7785454772338576,0.6244199697090649,6.051288652722606,1.4369171110673688e-09,2.185550925933468e-06
ENSMUSG00000097494.7,23.83997419327536,-0.7375183065834905,0.19277863131224163,-3.8257264384709706,0.00013038701995193348,0.0385965967084055
ENSMUSG00000097906.1,122.92175939334436,2.4777065234593305,0.2611635871723875,9.487182153857683,2.373638381198736e-21,7.94266875116721e-18
ENSMUSG00000002831.14,76.48797702801826,-1.1556473075956213,0.2838385999049643,-4.071494532394673,4.6712458998849524e-05,0.016990133728472856
