Gene,Subcategory,NumTissues,Tissues,EventTypes,NumEvents,Max_|ΔΨ|,Hippo_ΔΨ,PFC_ΔΨ,Stri_ΔΨ,Threshold,Evidence
2010001A14Rik,B2_Pathway,2,"hippocampus,prefrontal",SE,2,0.292,-0.292,0.122,0.0,>=0.2,
4430402I18Rik,B2_Pathway,2,"prefrontal,striatum",SE,1,0.223,0.0,-0.103,0.223,>=0.2,
Abcb4,B2_Pathway,1,striatum,"MXE,SE",2,0.417,0.0,0.0,-0.417,>=0.3,
Agk,B2_Pathway,2,"hippocampus,striatum",A5SS,1,0.263,-0.149,0.0,-0.263,>=0.2,
Arfip2,B2_Pathway,2,"hippocampus,striatum","A3SS,SE",2,0.309,0.155,0.0,-0.309,>=0.2,
Arhgef5,B2_Pathway,1,hippocampus,RI,1,0.447,0.447,0.0,0.0,>=0.3,
Arpp21,B2_Pathway,2,"hippocampus,prefrontal",SE,1,0.41,-0.41,-0.118,0.0,>=0.2,
Atp5j,B2_Pathway,2,"hippocampus,prefrontal",SE,1,0.303,-0.303,0.145,0.0,>=0.2,
BC006965,B2_Pathway,1,prefrontal,SE,1,0.433,0.0,0.433,0.0,>=0.3,
Bcl2l12,B2_Pathway,1,striatum,A5SS,1,0.473,0.0,0.0,-0.473,>=0.3,
Cacna1d,B2_Pathway,2,"prefrontal,striatum","MXE,SE",2,0.215,0.0,-0.215,0.15,>=0.2,
Cacna1g,B2_Pathway,2,"hippocampus,striatum",SE,2,0.244,-0.244,0.0,-0.223,>=0.2,
Card19,B2_Pathway,1,striatum,SE,1,0.304,0.0,0.0,-0.304,>=0.3,
Carmil1,B2_Pathway,2,"prefrontal,striatum",SE,1,0.234,0.0,-0.234,0.184,>=0.2,
Ccdc134,B2_Pathway,2,"prefrontal,striatum","RI,SE",2,0.26,0.0,0.213,0.26,>=0.2,
Ccdc155,B2_Pathway,2,"prefrontal,striatum","MXE,SE",2,0.223,0.0,0.223,0.131,>=0.2,
Ccna1,B2_Pathway,1,hippocampus,SE,1,0.417,-0.417,0.0,0.0,>=0.3,
Cdh18,B2_Pathway,2,"hippocampus,prefrontal",A3SS,1,0.275,0.105,-0.275,0.0,>=0.2,
Cdk2,B2_Pathway,1,hippocampus,SE,1,0.336,0.336,0.0,0.0,>=0.3,
Cenpt,B2_Pathway,1,hippocampus,RI,1,0.308,-0.308,0.0,0.0,>=0.3,
Crat,B2_Pathway,2,"hippocampus,striatum",SE,1,0.236,0.236,0.0,0.188,>=0.2,
Crybg2,B2_Pathway,1,hippocampus,RI,1,0.337,-0.337,0.0,0.0,>=0.3,
Ctns,B2_Pathway,1,prefrontal,SE,1,0.349,0.0,0.349,0.0,>=0.3,
D7Ertd443e,B2_Pathway,1,hippocampus,SE,2,0.311,-0.311,0.0,0.0,>=0.3,
Disp2,B2_Pathway,1,hippocampus,SE,1,0.35,-0.35,0.0,0.0,>=0.3,
Dnah9,B2_Pathway,2,"hippocampus,striatum",MXE,2,0.283,0.283,0.0,0.232,>=0.2,
Dxo,B2_Pathway,1,prefrontal,A5SS,1,0.341,0.0,-0.341,0.0,>=0.3,
Emc8,B2_Pathway,1,prefrontal,SE,1,0.376,0.0,-0.376,0.0,>=0.3,
Fam3a,B2_Pathway,2,"hippocampus,striatum",A3SS,1,0.217,-0.217,0.0,-0.125,>=0.2,
Fzd10os,B2_Pathway,2,"hippocampus,striatum",SE,2,0.342,0.134,0.0,0.342,>=0.2,
Galnt13,B2_Pathway,2,"hippocampus,prefrontal",SE,1,0.203,-0.169,0.203,0.0,>=0.2,
