ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	23,12,24,15,20,15,9,6,20,21	0,0,1,0,0,0,0,0,0,0	17,17,15,15,23,17,12,18,17,6	0,0,0,0,0,2,1,0,0,0	80	75
3	15,13,8,12,13,11,8,6,7,17	2,0,0,0,0,0,0,0,0,1	9,7,13,13,11,9,10,16,17,5	2,1,0,1,1,1,1,0,0,0	150	75
6	3,2,6,3,2,3,4,2,6,2	0,0,0,0,0,0,0,0,0,0	4,2,2,2,6,1,6,4,0,1	0,1,0,0,0,0,0,0,0,0	150	75
7	0,2,0,0,2,0,1,1,0,0	0,3,0,0,0,0,0,0,0,0	0,1,0,0,0,1,1,0,0,0	0,1,0,0,0,1,0,0,0,0	114	75
8	1,2,2,7,4,0,1,8,2,3	0,3,0,0,0,0,0,0,0,0	4,13,5,2,2,5,2,3,1,8	0,1,0,0,0,1,0,0,0,0	150	75
9	7,5,9,9,9,6,4,11,4,9	0,3,0,0,0,0,0,0,0,0	5,14,10,6,5,8,2,9,6,9	0,1,0,0,0,1,0,0,0,0	150	75
10	1,2,2,7,4,0,1,6,2,3	0,3,0,0,0,0,0,0,0,0	2,11,4,2,1,5,1,3,1,5	0,1,0,0,0,1,0,0,0,0	150	75
14	11,7,15,6,13,9,13,11,11,10	0,0,0,0,0,0,0,2,0,0	6,7,8,9,8,8,7,9,13,8	2,2,1,0,1,0,1,0,0,3	150	75
15	5,4,8,4,8,3,10,6,9,4	0,0,0,0,0,0,0,2,0,0	3,4,2,5,4,5,6,3,8,4	2,2,1,0,1,0,1,0,0,3	150	75
16	0,0,0,0,0,0,0,0,2,0	6,3,7,2,5,6,3,5,2,6	0,0,0,0,0,0,0,0,3,1	3,3,6,4,4,3,1,6,5,4	150	75
18	0,0,2,0,0,1,0,5,1,1	27,8,20,11,10,9,22,7,16,11	0,0,0,3,2,2,0,1,0,1	15,25,21,16,19,15,19,11,18,13	80	75
19	2,0,1,0,0,1,2,0,0,0	0,0,0,0,0,0,0,0,0,0	0,1,1,0,0,1,2,0,0,0	0,0,0,0,0,0,0,0,0,2	84	75
