ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	8,8,12,8,20,7,22,12,8,8	0,0,0,0,0,0,0,0,0,0	9,14,14,15,10,12,14,9,13,14	0,0,0,1,0,0,0,0,0,0	150	75
1	0,2,1,2,0,0,1,2,0,1	6,16,11,12,12,14,19,11,23,6	0,0,0,2,2,1,0,1,0,0	8,14,15,6,13,15,13,15,7,12	150	75
3	908,872,942,898,795,827,771,754,860,902	108,95,82,116,69,96,83,72,93,84	758,1042,837,812,838,941,917,853,867,713	97,104,98,73,91,73,101,104,90,71	150	75
4	0,4,3,0,3,1,1,3,2,1	12,9,12,9,12,10,15,11,10,17	4,5,3,6,5,4,1,3,1,2	12,17,6,18,10,9,13,3,21,9	150	75
5	26,26,22,15,21,23,23,24,24,23	1,2,2,1,1,4,1,2,4,1	30,23,27,34,17,13,28,27,28,24	3,4,2,6,4,0,1,4,2,5	150	75
6	13,11,7,4,13,6,18,14,9,3	151,121,124,76,100,90,112,107,121,126	4,11,8,5,6,5,10,7,5,6	129,113,118,118,127,102,123,89,109,109	150	75
7	0,5,1,2,1,4,3,0,8,2	47,52,51,50,46,32,46,34,29,52	0,2,3,2,2,2,1,1,0,3	60,47,42,50,48,59,48,37,49,37	150	75
8	138,168,155,147,114,131,106,107,111,131	4,4,6,2,2,6,4,2,6,5	116,123,93,120,132,150,131,124,122,116	4,3,2,9,5,4,8,6,4,4	150	75
9	0,0,0,0,0,0,0,0,0,0	19,15,11,9,9,10,7,7,7,7	0,0,0,0,1,0,0,0,0,0	17,13,9,7,11,11,10,7,8,14	150	75
10	1,1,0,0,0,0,1,0,0,0	0,1,1,0,0,0,0,0,0,0	0,1,0,0,0,0,1,0,0,1	0,0,0,0,0,0,1,0,0,0	150	75
11	0,0,0,1,0,0,1,0,0,1	2,2,9,6,1,8,6,9,7,7	0,0,0,0,0,0,1,0,0,0	4,4,1,4,7,4,5,5,4,9	150	75
12	0,1,0,0,0,0,0,0,0,0	10,5,6,7,6,10,8,6,6,8	0,2,0,0,0,0,0,0,0,0	6,16,6,7,9,8,7,10,5,10	150	75
13	33,19,22,27,21,24,8,24,26,25	4,2,0,4,5,3,0,2,4,3	19,25,24,15,24,25,31,23,20,23	2,3,3,4,2,4,4,0,4,4	150	75
14	18,16,17,11,12,12,16,11,5,2	0,3,1,2,1,1,3,2,2,4	13,20,9,17,7,12,10,15,17,14	1,0,2,4,3,3,1,2,0,3	150	75
15	4,0,3,3,1,0,4,7,3,2	178,212,188,157,182,176,137,137,177,191	1,1,4,4,1,0,3,2,2,1	166,178,165,168,182,163,169,184,153,192	150	75
16	0,0,0,0,1,0,0,1,1,2	66,60,78,45,42,53,58,56,53,42	0,0,1,1,0,0,0,0,1,2	56,66,48,59,76,57,57,54,52,39	150	75
17	11,22,18,19,17,16,14,12,9,19	4,1,4,1,1,1,0,1,2,0	15,25,16,19,25,10,14,11,11,13	1,4,0,0,0,1,1,2,0,4	150	75
18	128,122,117,114,126,102,87,121,108,114	12,6,5,5,4,1,3,5,5,5	106,120,104,101,113,120,134,118,103,100	7,3,7,7,8,4,2,0,8,4	150	75
19	0,0,1,3,1,1,0,0,3,0	139,150,144,124,161,139,127,104,111,152	2,1,2,2,1,0,0,1,0,0	150,138,145,145,175,131,114,125,127,98	150	75
20	7,2,1,9,2,3,5,4,3,1	677,603,680,527,545,545,536,467,578,565	4,3,0,3,1,2,3,0,5,5	602,610,553,575,612,558,603,537,567,576	150	75
21	4,3,3,2,0,3,2,3,4,1	984,933,1004,757,787,738,682,680,789,849	4,1,1,3,0,1,1,2,2,2	731,826,813,799,876,892,926,826,794,850	150	75
22	27,32,21,36,30,23,28,27,34,17	1081,983,1070,857,893,843,754,725,886,910	11,33,23,29,17,23,25,20,38,32	864,1015,892,925,962,928,1020,797,863,886	150	75
23	5,5,3,4,4,5,5,4,5,1	1,1,0,0,0,2,0,0,0,1	5,7,0,3,4,3,10,4,5,0	0,0,0,1,0,0,0,0,0,0	150	75
25	2,2,0,0,0,1,1,0,3,0	7,10,2,3,3,8,4,8,15,6	0,0,0,1,1,0,1,0,1,0	5,6,12,8,2,9,10,10,8,6	150	75
26	3,6,2,7,2,2,3,3,3,1	8,14,7,8,7,7,3,8,6,7	2,2,0,2,4,1,1,1,7,0	7,7,3,11,7,4,8,6,3,7	150	75
27	1,0,0,2,0,2,1,1,0,0	4,8,1,1,4,4,1,5,7,5	0,0,0,2,0,0,0,3,1,0	6,7,1,8,1,5,4,6,8,4	150	75
28	1,0,0,0,1,0,1,3,0,4	48,44,58,32,50,34,41,47,40,45	2,1,3,1,1,0,1,3,0,2	43,58,51,53,40,52,41,46,53,37	150	75
29	12,8,10,7,7,7,22,16,8,10	1,2,2,1,3,2,3,2,1,3	11,7,15,8,5,12,6,10,7,9	1,1,3,1,1,2,0,1,1,0	150	75
30	12,8,10,7,7,7,21,16,8,10	38,29,18,17,20,22,15,19,24,28	11,7,15,9,5,12,6,10,7,9	14,16,15,22,16,30,21,11,19,16	150	75
