ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1,0,0,1,1,0,0,0,0,0	8,4,7,17,14,7,7,9,4,11	2,0,0,0,0,0,0,0,1,0	15,12,5,12,14,13,10,7,11,5	150	75
2	723,838,779,874,725,596,623,614,687,728	78,69,76,65,48,62,58,61,56,92	841,747,811,767,891,760,884,712,680,666	94,79,60,57,68,57,69,64,45,52	150	75
3	2,4,0,2,1,3,2,2,1,1	5,12,5,5,7,12,5,5,5,8	2,1,0,2,6,3,5,0,2,0	10,10,8,8,9,12,7,3,6,7	150	75
4	22,16,26,26,17,24,20,13,11,16	1,0,1,0,0,0,0,0,0,3	16,21,22,16,18,20,24,21,14,17	1,0,1,4,1,0,1,1,5,0	150	75
5	6,8,11,9,6,4,1,5,11,2	83,83,124,121,100,71,86,72,94,113	7,3,4,3,10,10,6,4,8,10	103,100,83,89,115,104,122,97,87,92	150	75
6	1,0,1,3,4,0,1,0,1,2	47,34,45,49,43,47,45,31,37,41	0,4,0,0,0,2,0,2,1,3	31,50,31,41,53,39,47,41,51,41	150	75
7	105,110,125,131,94,96,106,108,97,148	1,3,3,3,8,2,1,3,3,6	123,112,89,96,115,118,125,101,126,121	0,6,5,3,4,1,3,4,1,1	150	75
8	0,0,0,0,0,0,0,0,0,0	12,12,4,15,8,4,6,13,9,21	1,0,0,0,0,0,0,0,0,0	15,8,11,6,13,11,8,9,8,5	150	75
9	0,0,0,0,0,1,0,1,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,1,0,0,0,0	1,0,0,0,0,0,0,0,0,0	150	75
10	1,0,0,0,0,0,0,0,0,0	8,3,5,5,3,2,1,4,2,5	2,0,0,0,1,0,0,0,0,0	8,4,4,3,4,6,6,2,2,4	150	75
11	0,1,0,0,0,0,0,0,0,1	9,5,10,5,6,9,5,7,2,7	1,0,1,0,0,1,0,0,0,1	5,4,3,7,8,7,7,8,9,7	150	75
12	12,14,26,18,18,11,16,20,21,26	2,3,3,2,1,0,0,1,2,2	18,20,22,18,20,14,11,18,13,11	1,0,1,1,0,2,2,1,2,1	150	75
13	9,12,6,13,7,7,5,16,5,12	0,3,2,0,1,5,1,2,1,0	12,4,4,7,14,4,9,2,6,16	2,1,0,0,2,0,3,0,1,0	150	75
14	1,1,2,2,3,0,1,2,1,1	135,167,157,178,166,147,154,143,174,188	1,2,1,0,2,0,1,0,0,1	128,147,119,163,170,180,164,141,173,157	150	75
15	0,1,0,0,0,0,0,1,0,0	49,40,45,53,56,30,45,43,36,49	0,0,0,0,0,0,0,0,0,0	51,39,27,36,33,40,46,28,27,40	150	75
16	15,15,19,12,10,17,13,25,14,17	2,2,0,1,0,1,1,0,2,0	7,7,22,8,17,11,10,11,17,23	1,1,0,0,1,1,1,0,0,3	150	75
17	73,106,97,106,112,73,85,77,84,103	1,6,5,1,4,7,2,4,2,5	100,98,86,74,109,94,128,85,84,78	4,3,0,6,3,1,3,4,2,2	150	75
18	1,1,0,0,0,0,0,1,1,0	120,154,128,130,135,73,86,105,115,126	0,2,1,1,0,0,0,0,0,0	94,111,103,124,129,124,144,106,94,86	150	75
19	0,2,1,2,1,1,1,2,7,4	490,562,528,557,473,528,425,438,486,581	6,3,2,3,2,1,1,1,6,4	458,533,478,479,534,504,502,475,507,586	150	75
20	0,0,3,0,1,0,2,1,4,0	602,761,687,784,637,728,669,666,637,868	3,0,0,1,2,0,2,1,0,2	631,747,647,707,741,713,792,710,809,854	150	75
21	24,13,20,14,11,11,11,17,11,21	749,900,843,893,756,890,711,728,736,997	13,14,12,6,19,5,12,10,20,32	763,814,671,838,857,781,965,851,791,954	150	75
22	3,2,1,1,7,0,6,4,1,2	0,0,0,0,0,1,0,0,0,0	1,2,6,4,3,1,3,3,0,2	0,0,0,0,0,0,1,1,0,0	150	75
24	0,0,0,2,0,0,0,0,0,0	6,3,8,11,8,3,2,6,6,5	0,0,0,0,1,2,0,0,0,1	11,8,4,5,5,8,7,2,2,3	150	75
25	2,5,1,1,1,1,3,3,1,0	6,7,6,9,9,0,2,1,6,4	1,1,0,2,1,0,1,1,1,4	8,7,5,4,3,2,9,5,6,3	150	75
26	2,0,0,0,1,0,0,0,1,0	8,5,8,3,2,3,3,3,4,5	0,1,1,0,0,0,0,0,1,0	10,4,1,4,6,3,7,3,1,2	150	75
27	2,0,0,0,1,1,1,0,0,1	55,36,54,55,45,48,40,52,58,51	0,0,1,0,1,2,1,0,3,1	60,41,41,50,53,36,43,35,55,48	150	75
