ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	7,9,6,10,4,4,1,7,4,3	8,4,7,17,14,7,7,9,4,11	7,5,2,5,7,3,4,2,17,2	15,12,5,12,14,13,10,7,11,5	2532	75
2	4434,5021,4665,4881,4154,3119,3444,3424,3744,4021	78,69,76,65,48,62,58,61,56,92	4781,4314,4494,4197,5264,4467,4989,3821,3322,3121	94,79,60,57,68,57,69,64,45,52	1545	75
3	9,14,7,10,7,12,14,6,10,6	5,12,5,5,7,12,5,5,5,8	10,6,7,12,14,9,12,9,10,9	10,10,8,8,9,12,7,3,6,7	942	75
4	35,33,34,40,31,44,31,24,32,31	1,0,1,0,0,0,0,0,0,3	39,29,36,30,40,29,40,38,29,30	1,0,1,4,1,0,1,1,5,0	222	75
5	6,8,11,9,6,4,1,5,11,2	83,83,124,121,100,71,86,72,94,113	7,3,4,3,10,10,6,4,8,10	103,100,83,89,115,104,122,97,87,92	180	75
6	5,1,5,5,5,2,2,3,2,2	47,34,45,49,43,47,45,31,37,41	3,5,0,0,4,4,3,6,2,3	31,50,31,41,53,39,47,41,51,41	401	75
7	280,288,299,305,249,241,216,246,235,333	1,3,3,3,8,2,1,3,3,6	303,274,227,243,286,246,308,216,296,270	0,6,5,3,4,1,3,4,1,1	282	75
8	0,0,0,2,0,0,0,0,1,0	12,12,4,15,8,4,6,13,9,21	1,0,0,0,0,0,1,0,0,0	15,8,11,6,13,11,8,9,8,5	941	75
9	2,0,0,1,0,1,0,1,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,1,0,0,0,0	1,0,0,0,0,0,0,0,0,0	189	75
10	1,3,0,0,0,0,0,1,0,0	8,3,5,5,3,2,1,4,2,5	2,0,0,0,1,0,0,0,0,0	8,4,4,3,4,6,6,2,2,4	299	75
11	0,1,0,0,0,0,0,0,0,2	9,5,10,5,6,9,5,7,2,7	1,0,1,0,1,1,0,0,0,1	5,4,3,7,8,7,7,8,9,7	249	75
12	28,37,37,41,31,20,23,29,35,38	2,3,3,2,1,0,0,1,2,2	38,34,32,34,47,27,24,34,26,18	1,0,1,1,0,2,2,1,2,1	484	75
13	90,80,94,122,67,76,72,101,80,93	0,3,2,0,1,5,1,2,1,0	99,49,34,87,102,56,70,74,103,168	2,1,0,0,2,0,3,0,1,0	1699	75
14	2,4,9,3,7,2,5,4,4,1	135,167,157,178,166,147,154,143,174,188	8,7,3,3,3,4,3,2,3,3	128,147,119,163,170,180,164,141,173,157	579	75
15	0,1,0,0,0,0,0,1,0,0	49,40,45,53,56,30,45,43,36,49	0,0,0,0,0,0,0,0,0,0	51,39,27,36,33,40,46,28,27,40	303	75
16	15,15,19,12,10,17,13,25,14,17	2,2,0,1,0,1,1,0,2,0	7,7,22,8,17,11,10,11,17,23	1,1,0,0,1,1,1,0,0,3	150	75
17	697,836,827,887,732,551,691,645,757,849	1,6,5,1,4,7,2,4,2,5	808,737,715,687,837,740,918,702,665,591	4,3,0,6,3,1,3,4,2,2	1502	75
