ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	9,10,16,11,13,14,11,8,6,11	18,9,11,8,14,13,7,17,8,9	15,11,18,14,8,13,11,11,16,15	13,7,12,17,9,8,13,14,21,8	2532	75
2	5475,5724,5917,5766,6764,5055,5639,5042,5152,5840	85,70,85,66,86,75,88,65,66,85	5832,6037,5776,5518,6008,5411,6638,6835,6544,5766	91,95,82,88,93,102,62,85,92,75	1545	75
3	11,21,12,18,12,16,15,17,10,14	6,19,5,6,9,7,14,3,6,18	25,19,9,10,9,15,7,21,22,21	14,16,15,8,11,6,8,5,10,7	942	75
4	47,37,41,25,38,45,34,32,24,48	0,1,1,1,0,4,0,0,1,4	32,33,35,35,39,33,32,63,31,46	0,1,1,2,0,2,4,1,2,4	222	75
5	14,18,15,8,11,7,13,5,10,17	106,149,109,105,98,81,120,115,74,130	8,7,10,11,12,16,10,17,11,10	103,111,90,91,129,114,87,109,119,98	180	75
6	3,2,3,4,2,6,4,7,0,3	31,41,20,35,37,29,41,35,17,35	2,11,5,5,3,2,3,1,3,5	35,36,26,26,35,27,35,31,39,41	401	75
7	260,198,238,192,222,204,241,226,187,224	3,2,1,3,1,4,4,3,1,4	198,268,201,238,196,228,220,225,292,278	3,7,4,4,1,2,3,5,3,4	282	75
8	1,0,0,0,0,0,1,0,0,0	9,12,8,12,11,11,11,6,12,9	0,0,2,0,0,2,0,0,0,0	13,8,10,19,10,14,8,10,9,9	941	75
10	0,2,0,0,0,0,0,0,2,2	3,7,5,13,9,5,3,5,5,7	0,0,0,0,0,1,0,2,0,1	4,7,8,7,5,3,5,10,6,10	299	75
11	0,0,1,0,0,1,0,0,0,0	15,11,11,10,14,3,10,4,5,10	0,0,0,0,1,0,2,0,0,0	11,5,13,7,6,9,11,13,7,7	249	75
12	39,58,61,45,72,61,54,44,48,54	8,5,3,4,3,5,2,4,0,8	48,66,46,81,72,42,72,85,92,75	2,6,5,4,4,2,3,2,2,5	484	75
13	139,145,109,93,102,100,161,143,113,122	5,1,2,2,0,3,3,2,3,2	149,152,143,161,113,134,107,131,136,120	1,2,1,5,1,4,0,4,1,2	1699	75
14	7,8,9,13,5,6,15,6,14,12	153,157,154,137,176,141,190,139,151,193	8,9,14,12,5,12,8,8,12,13	167,151,130,150,157,169,185,163,170,207	579	75
15	0,0,1,0,2,0,3,3,1,4	61,57,55,41,51,43,62,64,57,67	0,0,1,2,0,0,1,0,1,0	71,51,51,49,66,55,65,57,71,53	303	75
16	11,14,21,15,18,11,19,12,20,18	2,0,1,0,1,0,1,1,2,4	12,25,15,14,12,19,24,17,18,9	0,1,3,0,1,0,2,1,1,0	150	75
17	807,794,652,673,666,586,731,664,648,897	2,5,2,3,3,3,4,2,4,2	697,702,693,711,679,752,740,765,719,706	2,2,5,3,5,4,6,6,0,5	1502	75
18	1,3,2,2,4,0,0,3,1,1	131,104,79,74,112,74,117,122,103,97	2,4,3,1,0,1,2,1,2,2	116,89,76,91,112,123,106,119,99,79	380	75
19	8,9,3,8,8,2,10,5,13,5	520,474,444,432,469,397,520,449,417,489	5,10,14,2,6,7,4,7,8,4	510,516,445,512,467,497,435,432,476,474	380	75
20	3,3,3,4,4,1,3,3,1,2	775,791,582,601,560,540,746,620,568,764	6,1,7,2,3,2,4,7,4,2	685,732,598,681,603,599,581,623,638,682	260	75
21	47,41,40,39,38,30,56,42,38,43	844,808,692,705,762,698,904,764,694,842	40,62,43,39,31,36,33,37,48,62	752,887,722,841,701,763,767,704,739,809	293	75
22	8,3,7,5,7,7,9,8,8,8	1,1,0,0,0,0,1,0,0,0	5,4,3,16,3,8,5,2,4,5	0,0,0,0,0,0,0,0,3,0	170	75
24	3,1,0,0,0,2,3,3,0,0	5,3,2,2,5,6,3,3,11,2	4,1,3,3,1,3,0,2,0,0	9,6,2,14,3,5,4,5,3,1	453	75
25	5,2,4,2,1,2,4,5,0,0	7,6,4,3,1,2,4,5,6,6	3,0,4,2,1,3,7,1,6,4	4,2,4,3,6,2,1,1,4,3	215	75
26	2,1,0,0,1,0,1,0,0,1	4,8,0,6,2,2,3,4,1,2	0,0,1,0,0,1,0,0,0,1	5,2,5,3,3,3,4,4,3,8	209	75
27	1,2,3,1,1,3,1,2,0,2	64,54,43,48,52,53,46,32,31,40	0,7,1,1,1,1,3,2,0,3	50,50,41,58,52,38,53,53,44,45	230	75
28	15,24,23,27,20,16,38,20,25,30	2,2,0,2,1,0,1,0,0,5	27,26,19,34,10,27,27,30,36,22	4,0,0,2,1,3,3,2,0,1	303	75
29	15,24,23,27,20,16,38,20,25,30	27,19,11,15,19,21,16,19,15,21	27,26,19,34,10,27,27,30,36,22	17,23,13,21,13,10,18,19,26,10	306	75
31	7,4,7,8,11,5,3,6,4,7	380,386,341,313,391,282,397,334,349,555	5,4,6,11,2,3,4,5,8,8	496,387,332,355,334,382,453,358,463,479	156	75
