ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70011119	70011303	70012700	70012830	70010534	70010604	70014707	70014755
1	"ENSMUSG00000101032.6"	"Gm29377"	chrY	+	66375896	66376027	66377424	66377608	66373977	66374025	66378123	66378193
2	"ENSMUSG00000118461.1"	"Gm21679"	chrY	-	29671838	29671905	29683261	29683393	29671255	29671290	29684577	29684609
3	"ENSMUSG00000118461.1"	"Gm21679"	chrY	-	29671838	29671905	29683261	29683396	29671255	29671290	29684577	29684609
4	"ENSMUSG00000118461.1"	"Gm21679"	chrY	-	29673635	29673703	29683261	29683393	29671838	29671905	29684577	29684609
5	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1134871	1134986	1137657	1137732	1131035	1131223	1137806	1137871
6	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1136847	1136996	1137657	1137732	1134871	1134986	1137806	1137871
7	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1189335	1189390	1199454	1199513	1186773	1186808	1224496	1224546
8	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1239710	1239819	1199454	1199513	1245155	1245219
9	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1019985	1020155	1023301	1023474	1016056	1017508	1028187	1028847
10	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169800739	169800792	169926953	169927669	169685198	169685372	169966062	169966158
11	"ENSMUSG00000031355.16"	"Arhgap6"	chrX	+	169295041	169295131	169298420	169298469	169281960	169282058	169300062	169300337
12	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167522089	167522135	167604558	167604661	167515803	167515908	167610870	167611031
13	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167604558	167604661	167610870	167611031	167522089	167522135	167729018	167729135
14	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166353564	166353684	166367027	166367174	166344691	166345081	166372637	166372824
15	"ENSMUSG00000031379.13"	"Pir"	chrX	+	164342473	164342518	164358147	164358230	164330014	164330099	164369045	164369112
16	"ENSMUSG00000041020.14"	"Map7d2"	chrX	+	159460266	159460365	159462113	159462224	159459377	159459483	159469962	159470093
17	"ENSMUSG00000057457.11"	"Phex"	chrX	-	157183801	157183932	157186208	157186276	157178728	157178794	157193804	157193859
18	"ENSMUSG00000057457.11"	"Phex"	chrX	-	157350419	157350565	157351759	157351843	157342009	157342103	157355484	157355601
19	"ENSMUSG00000041380.13"	"Htr2c"	chrX	+	147075730	147076047	147169569	147169770	147072384	147072487	147193768	147197274
20	"ENSMUSG00000041380.13"	"Htr2c"	chrX	+	147075730	147076047	147169569	147169675	147072384	147072487	147193768	147197277
21	"ENSMUSG00000041718.16"	"Alg13"	chrX	+	144319898	144320002	144320002	144320061	144318002	144318121	144322011	144322150
22	"ENSMUSG00000041718.16"	"Alg13"	chrX	+	144363864	144364107	144367898	144367939	144356795	144356961	144369560	144369861
23	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142834184	142834393	142841582	142841645	142832500	142832601	142842409	142843494
24	"ENSMUSG00000079418.3"	"Atg4a"	chrX	+	140988165	140988237	140988279	140988365	140986278	140986389	140990157	140990256
25	"ENSMUSG00000042425.18"	"Frmpd3"	chrX	+	140365728	140365831	140368818	140368864	140362144	140362299	140384002	140384107
26	"ENSMUSG00000042425.18"	"Frmpd3"	chrX	+	140368818	140368864	140384002	140384107	140365728	140365831	140388490	140388598
27	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137016248	137016339	137027989	137028154	137015256	137015382	137030025	137030099
28	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137027989	137028154	137030025	137030099	137016248	137016339	137032350	137032500
29	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137030025	137030099	137032350	137032500	137027989	137028154	137037929	137038032
30	"ENSMUSG00000031425.15"	"Plp1"	chrX	+	136833267	136833436	136834154	136834228	136831952	136832109	136835098	136835164
31	"ENSMUSG00000072966.11"	"Gprasp2"	chrX	+	135840618	135840690	135840852	135840924	135840392	135840469	135841220	135841303
32	"ENSMUSG00000025597.13"	"Klhl4"	chrX	+	114522298	114522435	114525631	114525828	114521614	114521779	114530022	114530154
33	"ENSMUSG00000025597.13"	"Klhl4"	chrX	+	114525631	114525828	114530022	114530154	114522298	114522435	114543001	114543170
34	"ENSMUSG00000025597.13"	"Klhl4"	chrX	+	114525631	114525828	114530022	114530235	114522298	114522435	114543001	114543170
35	"ENSMUSG00000031232.17"	"Magt1"	chrX	-	105971435	105971479	105974184	105974275	105968083	105971026	105979405	105979480
36	"ENSMUSG00000031229.16"	"Atrx"	chrX	-	105899880	105899993	105910573	105910643	105890916	105890972	105911469	105911654
37	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103496437	103496530	103502859	103503192	103493563	103493700	103518310	103518357
38	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103496437	103496530	103524866	103524996	103493563	103493700	103529644	103530710
39	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100808052	100808152	100809861	100809907	100807179	100807255	100811501	100811543
40	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100808052	100808152	100809861	100809907	100807179	100807255	100812725	100812776
41	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100811501	100811543	100812725	100812776	100807999	100808152	100813336	100813438
42	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100811501	100811543	100812725	100812776	100809861	100809907	100813336	100813438
43	"ENSMUSG00000079508.8"	"Apoo"	chrX	+	94387664	94387719	94390744	94390840	94382110	94382230	94394188	94394280
44	"ENSMUSG00000035150.15"	"Eif2s3x"	chrX	-	94196271	94196444	94197287	94197457	94188706	94190922	94199713	94199858
45	"ENSMUSG00000035150.15"	"Eif2s3x"	chrX	-	94197287	94197457	94199713	94199858	94196271	94196444	94200889	94200984
46	"ENSMUSG00000045103.19"	"Dmd"	chrX	+	85089816	85089891	85105143	85105345	85053970	85054032	85107579	85107665
47	"ENSMUSG00000031400.10"	"G6pdx"	chrX	-	74411965	74412091	74412318	74412477	74411564	74411658	74413863	74414081
48	"ENSMUSG00000031400.10"	"G6pdx"	chrX	-	74411965	74412091	74412318	74412480	74411564	74411658	74413863	74414081
49	"ENSMUSG00000031399.15"	"Fam3a"	chrX	-	74387437	74387496	74390473	74390497	74386911	74387084	74390990	74391104
50	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74283647	74283693	74288018	74288099	74283271	74283400	74288177	74288219
51	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74283931	74284017	74288018	74288099	74283647	74283693	74288177	74288219
52	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288018	74288099	74288177	74288219	74283271	74283400	74288450	74288513
53	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288018	74288099	74288177	74288219	74283647	74283693	74288450	74288513
54	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288661	74288714	74288928	74289019	74288450	74288513	74289104	74289182
55	"ENSMUSG00000031389.17"	"Arhgap4"	chrX	-	73904247	73904469	73906156	73906219	73900634	73900736	73906428	73906591
56	"ENSMUSG00000002014.12"	"Ssr4"	chrX	+	73790030	73790120	73790358	73790424	73789799	73789874	73790653	73790811
57	"ENSMUSG00000002010.17"	"Idh3g"	chrX	-	73782005	73782103	73782297	73782309	73781676	73781789	73782674	73782716
58	"ENSMUSG00000031376.15"	"Atp2b3"	chrX	+	73542185	73542420	73545062	73545242	73538075	73538317	73545364	73545452
59	"ENSMUSG00000035776.14"	"Cd99l2"	chrX	-	71441073	71441145	71450610	71450673	71440524	71440611	71492521	71492849
60	"ENSMUSG00000015214.14"	"Mtmr1"	chrX	+	71376886	71376910	71379013	71379064	71369798	71369904	71383199	71383275
61	"ENSMUSG00000015214.14"	"Mtmr1"	chrX	+	71377603	71377630	71379013	71379064	71376886	71376910	71383199	71383275
62	"ENSMUSG00000015214.14"	"Mtmr1"	chrX	+	71393295	71393445	71400540	71400726	71392515	71392599	71401727	71401934
63	"ENSMUSG00000059401.14"	"Mamld1"	chrX	+	71121357	71121468	71146185	71146435	71117480	71119394	71152189	71152274
64	"ENSMUSG00000035847.15"	"Ids"	chrX	-	70361042	70361131	70362976	70363154	70359948	70360149	70363801	70363938
65	"ENSMUSG00000031189.12"	"Aff2"	chrX	+	69544408	69545269	69693943	69693988	69523435	69523568	69725041	69725078
66	"ENSMUSG00000118604.1"	"BX322656.1"	chrX	+	61119341	61119424	61122011	61122159	61118586	61118691	61133365	61133503
67	"ENSMUSG00000118604.1"	"BX322656.1"	chrX	+	61119341	61119424	61133365	61133503	61118586	61118691	61134720	61134796
68	"ENSMUSG00000118604.1"	"BX322656.1"	chrX	+	61122011	61122159	61133365	61133503	61119341	61119424	61134720	61134796
69	"ENSMUSG00000031133.12"	"Arhgef6"	chrX	-	57241805	57241826	57243389	57243515	57240593	57240687	57244604	57244750
70	"ENSMUSG00000062184.11"	"Hs6st2"	chrX	-	51428657	51428744	51471373	51471406	51387211	51390361	51679889	51680408
71	"ENSMUSG00000085396.7"	"Firre"	chrX	-	50567539	50567693	50569276	50570291	50564812	50564967	50573014	50573141
72	"ENSMUSG00000085396.7"	"Firre"	chrX	-	50569276	50570291	50573014	50573141	50567539	50567693	50573223	50573351
73	"ENSMUSG00000025862.14"	"Stag2"	chrX	+	42206045	42206124	42211077	42211242	42201854	42201994	42217334	42217431
