ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
5	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1016056	1017508	1017363	1017508	1014633	1014792
11	"ENSMUSG00000047757.17"	"Fancb"	chrX	+	164995886	164996121	164995978	164996121	164995343	164995422
12	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162786616	162787678	162786616	162786691	162790611	162790806
14	"ENSMUSG00000041096.13"	"Tspyl2"	chrX	-	152340085	152340380	152340085	152340197	152341539	152342425
15	"ENSMUSG00000025268.15"	"Maged2"	chrX	-	150808720	150809152	150808720	150808783	150809246	150809326
19	"ENSMUSG00000041718.16"	"Alg13"	chrX	+	144319898	144320061	144320002	144320061	144319512	144319664
21	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137015256	137016339	137015256	137015382	137027989	137028154
22	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137016248	137016339	137016248	137016335	137027989	137028154
25	"ENSMUSG00000072964.14"	"Bhlhb9"	chrX	+	135885348	135886926	135886844	135886926	135845854	135845953
26	"ENSMUSG00000049047.11"	"Armcx3"	chrX	+	134757235	134757342	134757263	134757342	134756646	134756885
29	"ENSMUSG00000025665.16"	"Rps6ka6"	chrX	-	111462849	111463101	111462849	111463098	111463270	111463455
32	"ENSMUSG00000031232.17"	"Magt1"	chrX	-	105968083	105971479	105968083	105971026	105974184	105974275
46	"ENSMUSG00000043549.13"	"Fam90a1b"	chrX	-	94365658	94365856	94365658	94365743	94366630	94366777
47	"ENSMUSG00000087396.7"	"4933407K13Rik"	chrX	-	75709243	75710703	75709243	75709406	75727457	75727518
54	"ENSMUSG00000031399.15"	"Fam3a"	chrX	-	74392674	74392747	74392674	74392727	74392888	74393003
72	"ENSMUSG00000031343.13"	"Gabra3"	chrX	-	72552676	72552859	72552676	72552851	72656654	72656848
73	"ENSMUSG00000015217.11"	"Hmgb3"	chrX	+	71558052	71558207	71558056	71558207	71555927	71556190
75	"ENSMUSG00000000838.17"	"Fmr1"	chrX	+	68712230	68712413	68712305	68712413	68708041	68708128
83	"ENSMUSG00000036916.13"	"Zfp280c"	chrX	-	48578379	48578556	48578379	48578529	48591672	48591761
85	"ENSMUSG00000016150.15"	"Tenm1"	chrX	-	43167537	43167842	43167537	43167817	43410698	43410751
87	"ENSMUSG00000037475.15"	"Thoc2"	chrX	-	41812458	41812575	41812458	41812494	41813229	41813715
94	"ENSMUSG00000054737.11"	"Zfp182"	chrX	-	21060502	21060557	21060502	21060528	21061893	21062003
100	"ENSMUSG00000074733.14"	"Zfp950"	chr19	-	61118226	61118350	61118226	61118347	61120318	61120452
101	"ENSMUSG00000074733.14"	"Zfp950"	chr19	-	61118226	61118350	61118226	61118347	61127006	61127067
117	"ENSMUSG00000037126.16"	"Psd"	chr19	-	46326166	46326222	46326166	46326182	46326400	46326506
134	"ENSMUSG00000094707.2"	"A830019P07Rik"	chr19	-	35923486	35923547	35923486	35923544	35924369	35924578
169	"ENSMUSG00000025499.18"	"Hras"	chr7	-	141191341	141192290	141191341	141191467	141192441	141192620
175	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126819823	126819954	126819827	126819954	126818293	126818393
176	"ENSMUSG00000024944.6"	"Arl2"	chr19	-	6135978	6137640	6135978	6136059	6137729	6137840
183	"ENSMUSG00000024909.15"	"Efemp2"	chr19	+	5475060	5475178	5475151	5475178	5474314	5474395
187	"ENSMUSG00000054474.15"	"Thnsl2"	chr6	-	71131874	71132023	71131874	71131972	71134080	71134311
199	"ENSMUSG00000024830.17"	"Rps6kb2"	chr19	-	4162602	4162723	4162602	4162718	4162821	4162862
200	"ENSMUSG00000024830.17"	"Rps6kb2"	chr19	-	4162602	4162723	4162602	4162718	4163167	4163300
202	"ENSMUSG00000024845.17"	"Tmem134"	chr19	+	4127549	4127639	4127576	4127639	4127056	4127132
