ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	914024	916760	914024	914183	916640	916760
1	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169975258	169975993	169975258	169975306	169975926	169975993
2	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166385390	166388988	166385390	166385481	166386951	166388988
3	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162786616	162787678	162786616	162786691	162787558	162787678
4	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162811291	162811595	162811291	162811388	162811535	162811595
5	"ENSMUSG00000041096.13"	"Tspyl2"	chrX	-	152340085	152340380	152340085	152340197	152340302	152340380
6	"ENSMUSG00000025268.15"	"Maged2"	chrX	-	150808720	150809152	150808720	150808783	150809109	150809152
7	"ENSMUSG00000025268.15"	"Maged2"	chrX	-	150811822	150812314	150811822	150811948	150812155	150812314
8	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137015256	137016339	137015256	137015382	137016248	137016339
9	"ENSMUSG00000051579.10"	"Tceal8"	chrX	-	136171419	136171705	136171419	136171521	136171635	136171705
10	"ENSMUSG00000067369.12"	"Trmt2b"	chrX	-	134238142	134238586	134238142	134238242	134238466	134238586
11	"ENSMUSG00000067369.12"	"Trmt2b"	chrX	-	134240078	134240569	134240078	134240180	134240354	134240569
12	"ENSMUSG00000031232.17"	"Magt1"	chrX	-	105968083	105971479	105968083	105971026	105971435	105971479
13	"ENSMUSG00000086370.9"	"Ftx"	chrX	-	103569567	103572561	103569567	103570875	103572499	103572561
14	"ENSMUSG00000031311.17"	"Nono"	chrX	+	101444687	101445334	101444687	101444790	101445294	101445334
15	"ENSMUSG00000031310.16"	"Zmym3"	chrX	-	101415760	101416461	101415760	101415938	101416166	101416461
16	"ENSMUSG00000079487.11"	"Med12"	chrX	+	101293957	101294175	101293957	101294012	101294087	101294175
17	"ENSMUSG00000046032.16"	"Snx12"	chrX	-	101211958	101213864	101211958	101212346	101213773	101213864
18	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100772822	100773409	100772822	100772959	100773264	100773409
19	"ENSMUSG00000025151.16"	"Maged1"	chrX	-	94536873	94537356	94536873	94536988	94537293	94537356
20	"ENSMUSG00000025151.16"	"Maged1"	chrX	-	94537293	94537584	94537293	94537356	94537541	94537584
21	"ENSMUSG00000025151.16"	"Maged1"	chrX	-	94537675	94538065	94537675	94537755	94537973	94538065
22	"ENSMUSG00000043929.16"	"Klhl15"	chrX	+	94234989	94235420	94234989	94235125	94235220	94235420
23	"ENSMUSG00000031399.15"	"Fam3a"	chrX	-	74392674	74393103	74392674	74392727	74392829	74393103
24	"ENSMUSG00000031398.13"	"Plxna3"	chrX	+	74333745	74334348	74333745	74333846	74334224	74334348
25	"ENSMUSG00000031398.13"	"Plxna3"	chrX	+	74335042	74335498	74335042	74335157	74335297	74335498
26	"ENSMUSG00000031398.13"	"Plxna3"	chrX	+	74335769	74336191	74335769	74335866	74336000	74336191
27	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74282749	74283400	74282749	74283116	74283271	74283400
28	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288177	74288513	74288177	74288219	74288447	74288513
29	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288177	74288513	74288177	74288219	74288450	74288513
30	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288450	74289019	74288450	74288513	74288928	74289019
31	"ENSMUSG00000008682.13"	"Rpl10"	chrX	+	74271659	74271907	74271659	74271718	74271799	74271907
32	"ENSMUSG00000031386.14"	"Hcfc1"	chrX	-	73946709	73947050	73946709	73946847	73946934	73947050
33	"ENSMUSG00000031387.14"	"Renbp"	chrX	-	73929115	73930517	73929115	73930262	73930407	73930517
34	"ENSMUSG00000031388.14"	"Naa10"	chrX	-	73919501	73919869	73919501	73919540	73919753	73919869
35	"ENSMUSG00000031388.14"	"Naa10"	chrX	-	73919501	73919869	73919501	73919546	73919753	73919869
36	"ENSMUSG00000031389.17"	"Arhgap4"	chrX	-	73899844	73900469	73899844	73899872	73900098	73900469
37	"ENSMUSG00000031389.17"	"Arhgap4"	chrX	-	73900098	73900469	73900098	73900183	73900277	73900469
38	"ENSMUSG00000002014.12"	"Ssr4"	chrX	+	73787183	73788953	73787183	73787306	73788834	73788953
39	"ENSMUSG00000002014.12"	"Ssr4"	chrX	+	73789799	73790424	73789799	73789874	73790358	73790424
40	"ENSMUSG00000002010.17"	"Idh3g"	chrX	-	73780573	73781030	73780573	73780707	73780897	73781030
41	"ENSMUSG00000002010.17"	"Idh3g"	chrX	-	73782005	73782716	73782005	73782103	73782674	73782716
42	"ENSMUSG00000031385.14"	"Plxnb3"	chrX	+	73766940	73767672	73766940	73767180	73767520	73767672
43	"ENSMUSG00000002012.13"	"Pnck"	chrX	-	73657230	73657513	73657230	73657343	73657437	73657513
44	"ENSMUSG00000073125.10"	"Xlr3b"	chrX	+	73195941	73198385	73195941	73195976	73197352	73198385
45	"ENSMUSG00000073125.10"	"Xlr3b"	chrX	+	73197352	73198385	73197352	73197470	73198285	73198385
46	"ENSMUSG00000031340.8"	"Gabre"	chrX	-	72264518	72264739	72264518	72264608	72264704	72264739
47	"ENSMUSG00000035967.15"	"Ints6l"	chrX	+	56493038	56496734	56493038	56493133	56496515	56496734
48	"ENSMUSG00000035967.15"	"Ints6l"	chrX	+	56506879	56507840	56506879	56507062	56507213	56507840
49	"ENSMUSG00000086173.7"	"Kis2"	chrX	-	52742562	52743920	52742562	52742640	52743793	52743920
50	"ENSMUSG00000086173.7"	"Kis2"	chrX	-	52743793	52744593	52743793	52743920	52744234	52744593
51	"ENSMUSG00000037475.15"	"Thoc2"	chrX	-	41822692	41823546	41822692	41822871	41823361	41823546
52	"ENSMUSG00000001986.16"	"Gria3"	chrX	+	41654005	41654924	41654005	41654253	41654809	41654924
53	"ENSMUSG00000036502.14"	"Tmem255a"	chrX	-	38224580	38225125	38224580	38224669	38225053	38225125
54	"ENSMUSG00000031065.14"	"Cdk16"	chrX	+	20696017	20696467	20696017	20696141	20696346	20696467
55	"ENSMUSG00000031065.14"	"Cdk16"	chrX	+	20696730	20696964	20696730	20696836	20696921	20696964
56	"ENSMUSG00000000787.12"	"Ddx3x"	chrX	+	13287224	13287563	13287224	13287383	13287463	13287563
57	"ENSMUSG00000000787.12"	"Ddx3x"	chrX	+	13288278	13288671	13288278	13288364	13288572	13288671
58	"ENSMUSG00000039201.10"	"Tbc1d25"	chrX	-	8156315	8156778	8156315	8156504	8156650	8156778
59	"ENSMUSG00000039201.10"	"Tbc1d25"	chrX	-	8175710	8176181	8175710	8175849	8176056	8176181
60	"ENSMUSG00000031161.15"	"Hdac6"	chrX	-	7938385	7939665	7938385	7938492	7939442	7939665
61	"ENSMUSG00000031161.15"	"Hdac6"	chrX	-	7939442	7939665	7939442	7939532	7939605	7939665
62	"ENSMUSG00000037791.15"	"Phf12"	chr11	+	78024812	78025086	78024812	78024867	78024960	78025086
63	"ENSMUSG00000037791.15"	"Phf12"	chr11	+	78024812	78025086	78024812	78024929	78025023	78025086
64	"ENSMUSG00000025077.13"	"Dclre1a"	chr19	-	56540181	56541623	56540181	56540322	56541504	56541623
65	"ENSMUSG00000097636.8"	"Mirt1"	chr19	-	53451640	53453857	53451640	53451724	53453700	53453857
66	"ENSMUSG00000025060.15"	"Slk"	chr19	+	47622235	47622694	47622235	47622366	47622570	47622694
67	"ENSMUSG00000025036.7"	"Sfxn2"	chr19	+	46587934	46590201	46587934	46588010	46590140	46590201
68	"ENSMUSG00000025225.15"	"Nfkb2"	chr19	+	46306282	46306526	46306282	46306364	46306485	46306526
69	"ENSMUSG00000025225.15"	"Nfkb2"	chr19	+	46308864	46309296	46308864	46309074	46309154	46309296
70	"ENSMUSG00000043088.16"	"Il17re"	chr6	+	113466108	113466407	113466108	113466154	113466252	113466407
71	"ENSMUSG00000043088.16"	"Il17re"	chr6	+	113468905	113469128	113468905	113468957	113469029	113469128
72	"ENSMUSG00000025207.16"	"Sema4g"	chr19	+	45001167	45003397	45001167	45002218	45002346	45003397
73	"ENSMUSG00000037578.4"	"Pkd2l1"	chr19	-	44152032	44152462	44152032	44152154	44152363	44152462
74	"ENSMUSG00000025178.9"	"Pi4k2a"	chr19	+	42115036	42116018	42115036	42115136	42115884	42116018
75	"ENSMUSG00000048612.16"	"Myof"	chr19	-	37981877	37983010	37981877	37981908	37982959	37983010
76	"ENSMUSG00000056078.6"	"Lipm"	chr19	+	34111908	34112994	34111908	34112107	34112884	34112994
