ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
10	"ENSMUSG00000047757.17"	"Fancb"	chrX	+	164995886	164996121	164995978	164996121	164995343	164995422
11	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162786616	162787678	162786616	162786691	162790611	162790806
16	"ENSMUSG00000041718.16"	"Alg13"	chrX	+	144319898	144320061	144320002	144320061	144319512	144319664
18	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137016248	137016339	137016248	137016335	137027989	137028154
21	"ENSMUSG00000049047.11"	"Armcx3"	chrX	+	134757235	134757342	134757263	134757342	134756646	134756885
39	"ENSMUSG00000087396.7"	"4933407K13Rik"	chrX	-	75709243	75710703	75709243	75709406	75727457	75727518
47	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288018	74288099	74288021	74288099	74283647	74283693
64	"ENSMUSG00000031343.13"	"Gabra3"	chrX	-	72552676	72552859	72552676	72552851	72656654	72656848
65	"ENSMUSG00000015217.11"	"Hmgb3"	chrX	+	71558052	71558207	71558056	71558207	71555927	71556190
67	"ENSMUSG00000000838.17"	"Fmr1"	chrX	+	68712230	68712413	68712305	68712413	68708041	68708128
76	"ENSMUSG00000016150.15"	"Tenm1"	chrX	-	43167537	43167842	43167537	43167817	43410698	43410751
84	"ENSMUSG00000054737.11"	"Zfp182"	chrX	-	21060502	21060528	21060502	21060523	21061893	21062003
87	"ENSMUSG00000031065.14"	"Cdk16"	chrX	+	20696730	20696964	20696921	20696964	20696547	20696645
91	"ENSMUSG00000074733.14"	"Zfp950"	chr19	-	61118226	61118350	61118226	61118347	61120318	61120452
92	"ENSMUSG00000074733.14"	"Zfp950"	chr19	-	61118226	61118350	61118226	61118347	61127006	61127067
108	"ENSMUSG00000037126.16"	"Psd"	chr19	-	46326166	46326222	46326166	46326182	46326400	46326506
125	"ENSMUSG00000094707.2"	"A830019P07Rik"	chr19	-	35923486	35923547	35923486	35923544	35924369	35924578
148	"ENSMUSG00000052301.14"	"Doc2a"	chr7	+	126848414	126848862	126848572	126848862	126847415	126847520
163	"ENSMUSG00000024949.17"	"Sf1"	chr19	+	6374548	6374608	6374553	6374608	6374009	6374287
167	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126819823	126819954	126819827	126819954	126818293	126818353
168	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126819823	126819954	126819827	126819954	126818293	126818393
169	"ENSMUSG00000024944.6"	"Arl2"	chr19	-	6135978	6137640	6135978	6136059	6137729	6137840
176	"ENSMUSG00000024909.15"	"Efemp2"	chr19	+	5475060	5475178	5475151	5475178	5474314	5474395
191	"ENSMUSG00000024830.17"	"Rps6kb2"	chr19	-	4162602	4162723	4162602	4162718	4162821	4162862
192	"ENSMUSG00000024830.17"	"Rps6kb2"	chr19	-	4162602	4162723	4162602	4162718	4163167	4163300
194	"ENSMUSG00000024845.17"	"Tmem134"	chr19	+	4127549	4127639	4127576	4127639	4127056	4127132
200	"ENSMUSG00000024851.14"	"Pitpnm1"	chr19	+	4106711	4107975	4107785	4107975	4106563	4106625
208	"ENSMUSG00000031154.15"	"Otud5"	chrX	+	7867514	7867823	7867666	7867823	7856303	7856397
216	"ENSMUSG00000019578.11"	"Ubxn6"	chr17	-	56069690	56070985	56069690	56069775	56072400	56072529
226	"ENSMUSG00000024561.11"	"Mbd1"	chr18	+	74277300	74277578	74277516	74277578	74276801	74276939
235	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70467330	70467485	70467330	70467456	70467758	70468517
241	"ENSMUSG00000024587.10"	"Nars"	chr18	-	64501302	64501875	64501302	64501434	64503507	64503621
243	"ENSMUSG00000024587.10"	"Nars"	chr18	-	64515325	64515408	64515325	64515405	64516486	64516528
248	"ENSMUSG00000001751.9"	"Naglu"	chr11	+	101073846	101074103	101073932	101074103	101072216	101072302
255	"ENSMUSG00000039652.16"	"Cpeb3"	chr19	-	37088419	37088587	37088419	37088560	37105790	37105814
261	"ENSMUSG00000040374.13"	"Pex2"	chr3	-	5560499	5561764	5560499	5561760	5562668	5562732
264	"ENSMUSG00000024454.16"	"Hdac3"	chr18	-	37941378	37941553	37941378	37941458	37941707	37941766
273	"ENSMUSG00000036501.7"	"Fam13b"	chr18	-	34494598	34494776	34494598	34494693	34497333	34497903
274	"ENSMUSG00000036501.7"	"Fam13b"	chr18	-	34494598	34494776	34494598	34494693	34499685	34499852
277	"ENSMUSG00000024384.4"	"Iws1"	chr18	+	32083265	32083458	32083268	32083458	32079670	32080577
278	"ENSMUSG00000024384.4"	"Iws1"	chr18	+	32086272	32087152	32087069	32087152	32084652	32084750
284	"ENSMUSG00000024268.16"	"Celf4"	chr18	-	25504889	25505018	25504889	25505015	25537706	25537755
311	"ENSMUSG00000046722.14"	"Cdc42se1"	chr3	+	95232447	95232659	95232548	95232659	95231784	95232092
314	"ENSMUSG00000024044.19"	"Epb41l3"	chr17	+	69207858	69208076	69207885	69208076	69075751	69075995
317	"ENSMUSG00000075028.12"	"Prdm11"	chr2	-	92972017	92975861	92972017	92974182	92980510	92980698
330	"ENSMUSG00000046329.14"	"Slc25a23"	chr17	-	57052681	57052849	57052681	57052840	57053546	57053699
336	"ENSMUSG00000038781.7"	"Stap2"	chr17	-	55999742	56000015	55999742	55999808	56000086	56000156
349	"ENSMUSG00000024614.7"	"Tmx3"	chr18	+	90533220	90534438	90534381	90534438	90532982	90533040
356	"ENSMUSG00000023971.9"	"Rrp36"	chr17	-	46672524	46672847	46672524	46672591	46674196	46674287
367	"ENSMUSG00000024012.18"	"Mtch1"	chr17	-	29333513	29333842	29333513	29333589	29333957	29334005
369	"ENSMUSG00000023942.15"	"Slc29a1"	chr17	-	45592178	45592261	45592178	45592257	45593331	45593634
373	"ENSMUSG00000022992.17"	"Kansl2"	chr15	-	98528862	98529029	98528862	98529025	98529289	98529453
409	"ENSMUSG00000040356.16"	"Skiv2l"	chr17	-	34846866	34847324	34846866	34846995	34847407	34847461
411	"ENSMUSG00000071644.10"	"Eef1g"	chr19	+	8969161	8969506	8969363	8969506	8968215	8968374
421	"ENSMUSG00000073422.11"	"H2-Ke6"	chr17	-	34026032	34026470	34026032	34026225	34026662	34026705
422	"ENSMUSG00000073422.11"	"H2-Ke6"	chr17	-	34026032	34026470	34026032	34026225	34026850	34026935
426	"ENSMUSG00000008668.15"	"Rps18"	chr17	-	33952220	33952591	33952220	33952312	33955077	33955176
428	"ENSMUSG00000002308.16"	"Cd320"	chr17	+	33847494	33848178	33848016	33848178	33846015	33846141
430	"ENSMUSG00000079557.11"	"Marchf2"	chr17	-	33691514	33692203	33691514	33692153	33703012	33703208
431	"ENSMUSG00000059208.15"	"Hnrnpm"	chr17	-	33666493	33666685	33666493	33666529	33668984	33669078
432	"ENSMUSG00000073423.10"	"Zfp414"	chr17	+	33629780	33630079	33629796	33630079	33629621	33629698
441	"ENSMUSG00000006705.13"	"Pknox1"	chr17	+	31595224	31595324	31595227	31595324	31590602	31590774
454	"ENSMUSG00000028152.10"	"Tspan5"	chr3	+	138896788	138896914	138896852	138896914	138890734	138890881
463	"ENSMUSG00000062753.14"	"AI413582"	chr17	-	27564148	27564254	27564148	27564215	27564561	27564750
464	"ENSMUSG00000062753.14"	"AI413582"	chr17	-	27564148	27564339	27564148	27564215	27564561	27564750
465	"ENSMUSG00000062753.14"	"AI413582"	chr17	-	27564148	27564410	27564148	27564215	27564561	27564750
469	"ENSMUSG00000062753.14"	"AI413582"	chr17	-	27564148	27564339	27564148	27564254	27564621	27564750
478	"ENSMUSG00000024193.8"	"Phf1"	chr17	+	26936286	26936680	26936511	26936680	26936123	26936191
479	"ENSMUSG00000024193.8"	"Phf1"	chr17	+	26936286	26936680	26936522	26936680	26936123	26936191
480	"ENSMUSG00000024193.8"	"Phf1"	chr17	+	26936511	26936680	26936522	26936680	26936123	26936191
484	"ENSMUSG00000024186.15"	"Rgs11"	chr17	+	26207292	26207322	26207298	26207322	26205107	26205189
491	"ENSMUSG00000039615.9"	"Stub1"	chr17	-	25832045	25832306	25832045	25832244	25833085	25833404
492	"ENSMUSG00000061046.9"	"Haghl"	chr17	-	25783502	25783886	25783502	25783582	25784074	25784178
496	"ENSMUSG00000039754.10"	"Alkbh4"	chr5	+	136139337	136139535	136139461	136139535	136136157	136136399
503	"ENSMUSG00000024160.16"	"Spsb3"	chr17	+	24890567	24890935	24890832	24890935	24890282	24890460
513	"ENSMUSG00000039183.6"	"Nubp2"	chr17	-	24884400	24884586	24884400	24884555	24885718	24885837
516	"ENSMUSG00000032855.6"	"Pkd1"	chr17	+	24591014	24591217	24591174	24591217	24587927	24588021
518	"ENSMUSG00000079657.10"	"Rab26"	chr17	-	24530054	24530443	24530054	24530120	24530642	24530709
519	"ENSMUSG00000024137.9"	"E4f1"	chr17	-	24443778	24444476	24443778	24444337	24444546	24444689
524	"ENSMUSG00000036473.16"	"Tbc1d24"	chr17	-	24183693	24183852	24183693	24183848	24184380	24184398
526	"ENSMUSG00000036473.16"	"Tbc1d24"	chr17	-	24183693	24183852	24183693	24183848	24189943	24190053
531	"ENSMUSG00000068015.8"	"Lrch1"	chr14	-	74793126	74793231	74793126	74793184	74794910	74794991
534	"ENSMUSG00000071266.13"	"Zfp946"	chr17	+	22451078	22451152	22451096	22451152	22428480	22428565
550	"ENSMUSG00000097785.2"	"B230217O12Rik"	chr19	-	57324595	57324797	57324595	57324793	57360013	57360775
551	"ENSMUSG00000097785.2"	"B230217O12Rik"	chr19	-	57324595	57324797	57324595	57324793	57360610	57360739
564	"ENSMUSG00000073468.12"	"Sft2d1"	chr17	+	8321799	8323335	8323276	8323335	8320599	8320681
580	"ENSMUSG00000039456.10"	"Morc3"	chr16	+	93862413	93862715	93862640	93862715	93860492	93860597
583	"ENSMUSG00000057649.6"	"Brd9"	chr13	+	73941943	73942806	73942690	73942806	73938864	73940790
590	"ENSMUSG00000054874.12"	"Pcnx3"	chr19	-	5681431	5681574	5681431	5681553	5683276	5683412
592	"ENSMUSG00000054874.12"	"Pcnx3"	chr19	-	5681431	5681592	5681431	5681553	5683306	5683412
593	"ENSMUSG00000054874.12"	"Pcnx3"	chr19	-	5681431	5681592	5681431	5681574	5683306	5683412
603	"ENSMUSG00000042447.13"	"Mios"	chr6	+	8233049	8234361	8234231	8234361	8231160	8231313
619	"ENSMUSG00000115958.1"	"Gm28040"	chr1	+	133327134	133327340	133327209	133327340	133323965	133324048
620	"ENSMUSG00000006299.13"	"Aamp"	chr1	-	74283885	74284044	74283885	74284041	74284173	74284421
624	"ENSMUSG00000022661.14"	"Cd200"	chr16	-	45394592	45394865	45394592	45394860	45400221	45400303
626	"ENSMUSG00000036699.12"	"Zcchc12"	chrX	+	36196508	36196567	36196511	36196567	36196103	36196158
643	"ENSMUSG00000022884.16"	"Eif4a2"	chr16	+	23108584	23108633	23108587	23108633	23107770	23107880
644	"ENSMUSG00000022884.16"	"Eif4a2"	chr16	+	23109984	23110343	23110233	23110343	23108718	23108851
645	"ENSMUSG00000022884.16"	"Eif4a2"	chr16	+	23110579	23111263	23111125	23111263	23110233	23110343
653	"ENSMUSG00000045983.16"	"Eif4g1"	chr16	+	20681733	20681922	20681736	20681922	20681182	20681316
661	"ENSMUSG00000028975.16"	"Pex14"	chr4	-	148967523	148970635	148967523	148967626	148984036	148984165
662	"ENSMUSG00000027569.15"	"Mrgbp"	chr2	+	180584405	180584871	180584796	180584871	180583400	180583522
680	"ENSMUSG00000038178.16"	"Slc43a2"	chr11	+	75560820	75560991	75560898	75560991	75545753	75545830
691	"ENSMUSG00000022515.6"	"Anks3"	chr16	-	4947648	4948363	4947648	4947758	4950612	4950768
693	"ENSMUSG00000039637.15"	"Coro7"	chr16	-	4635383	4635460	4635383	4635438	4638669	4638811
694	"ENSMUSG00000039637.15"	"Coro7"	chr16	-	4635383	4635460	4635383	4635438	4655009	4655092
702	"ENSMUSG00000036678.8"	"Aaas"	chr15	-	102338816	102338898	102338816	102338887	102339185	102339418
