ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
39	"ENSMUSG00000002014.12"	"Ssr4"	chrX	+	73789799	73790424	73789799	73789874	73790358	73790424
42	"ENSMUSG00000031385.14"	"Plxnb3"	chrX	+	73766940	73767672	73766940	73767180	73767520	73767672
125	"ENSMUSG00000024807.18"	"Syvn1"	chr19	+	6050521	6051310	6050521	6050685	6051154	6051310
153	"ENSMUSG00000019578.11"	"Ubxn6"	chr17	-	56069690	56070985	56069690	56069775	56070887	56070985
157	"ENSMUSG00000011658.16"	"Fuz"	chr7	+	44898984	44900624	44898984	44899091	44900132	44900624
168	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70467334	70468517	70467334	70467485	70468053	70468517
189	"ENSMUSG00000024454.16"	"Hdac3"	chr18	-	37940952	37941766	37940952	37941110	37941707	37941766
213	"ENSMUSG00000024404.7"	"Riok3"	chr18	+	12135851	12137035	12135851	12135967	12136927	12137035
246	"ENSMUSG00000002835.9"	"Chaf1a"	chr17	+	56063327	56065425	56063327	56063420	56064973	56065425
253	"ENSMUSG00000040260.8"	"Daam2"	chr17	-	49473285	49476555	49473285	49473392	49476447	49476555
273	"ENSMUSG00000023938.8"	"Aars2"	chr17	+	45519512	45520843	45519512	45519596	45520285	45520843
318	"ENSMUSG00000024325.8"	"Ring1"	chr17	-	34021682	34023194	34021682	34021956	34022978	34023194
342	"ENSMUSG00000062753.14"	"AI413582"	chr17	-	27563768	27564410	27563768	27564016	27564384	27564410
364	"ENSMUSG00000061046.9"	"Haghl"	chr17	-	25784074	25784572	25784074	25784178	25784454	25784572
396	"ENSMUSG00000068039.13"	"Tcp1"	chr17	+	12918042	12919925	12918042	12918171	12919814	12919925
422	"ENSMUSG00000091625.8"	"Lsm5"	chr6	-	56703005	56703409	56703005	56703033	56703317	56703409
454	"ENSMUSG00000027569.15"	"Mrgbp"	chr2	+	180583400	180584871	180583400	180583522	180584796	180584871
463	"ENSMUSG00000041774.16"	"Ydjc"	chr16	+	17147597	17148846	17147597	17147697	17148155	17148846
465	"ENSMUSG00000007610.15"	"Gtpbp3"	chr8	+	71490334	71491590	71490334	71490537	71491424	71491590
473	"ENSMUSG00000039637.15"	"Coro7"	chr16	-	4634298	4634907	4634298	4634430	4634761	4634907
489	"ENSMUSG00000023011.8"	"Faim2"	chr15	-	99512780	99520355	99512780	99512868	99520301	99520355
496	"ENSMUSG00000022999.15"	"Lmbr1l"	chr15	-	98908519	98908921	98908519	98908596	98908848	98908921
498	"ENSMUSG00000003352.14"	"Cacnb3"	chr15	+	98641399	98642090	98641399	98641458	98641938	98642090
514	"ENSMUSG00000015377.10"	"Dennd6b"	chr15	-	89185361	89186047	89185361	89185464	89185993	89186047
519	"ENSMUSG00000015377.10"	"Dennd6b"	chr15	-	89186362	89187243	89186362	89186427	89186955	89187243
