ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000101164.6"	"Gm29218"	chrY	+	67920480	67920698	67920655	67920698	67919898	67919996
1	"ENSMUSG00000118461.1"	"Gm21679"	chrY	-	29653352	29653451	29653352	29653446	29655463	29655563
2	"ENSMUSG00000118461.1"	"Gm21679"	chrY	-	29683261	29683396	29683261	29683393	29684577	29684609
3	"ENSMUSG00000102392.5"	"Gm37577"	chrY	+	15735408	15735594	15735412	15735594	15734795	15734925
4	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1170903	1171002	1170903	1170954	1174727	1174854
5	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	910656	910849	910685	910849	910447	910586
6	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	927602	927891	927709	927891	927244	927439
7	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169985896	169986097	169985935	169986097	169984998	169985142
8	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166385390	166388988	166386951	166388988	166383934	166384000
9	"ENSMUSG00000040621.14"	"Gemin8"	chrX	+	166180352	166180809	166180445	166180809	166178791	166178830
10	"ENSMUSG00000047757.17"	"Fancb"	chrX	+	164995886	164996121	164995978	164996121	164995343	164995422
11	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162786616	162787678	162786616	162786691	162790611	162790806
12	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162811291	162811595	162811291	162811388	162829238	162829454
13	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160590165	160590368	160590167	160590368	160588964	160589018
14	"ENSMUSG00000041096.13"	"Tspyl2"	chrX	-	152340085	152340380	152340085	152340197	152341539	152342425
15	"ENSMUSG00000025271.13"	"Pfkfb1"	chrX	+	150589795	150590084	150589952	150590084	150588944	150589044
16	"ENSMUSG00000025269.16"	"Apex2"	chrX	-	150585864	150586066	150585864	150586045	150587042	150587126
17	"ENSMUSG00000041718.16"	"Alg13"	chrX	+	144319898	144320061	144320002	144320061	144317803	144318121
18	"ENSMUSG00000042498.16"	"Radx"	chrX	+	139513142	139513307	139513145	139513307	139511544	139511649
19	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137015256	137016339	137015256	137015382	137027989	137028154
20	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137016248	137016339	137016248	137016335	137027989	137028154
21	"ENSMUSG00000044550.11"	"Tceal3"	chrX	+	136667059	136667190	136667123	136667190	136594201	136594250
22	"ENSMUSG00000046432.12"	"Bex3"	chrX	+	136271262	136271978	136271267	136271978	136270809	136270882
23	"ENSMUSG00000079435.9"	"Rpl36a"	chrX	+	134586510	134586578	134586511	134586578	134586077	134586183
24	"ENSMUSG00000025665.16"	"Rps6ka6"	chrX	-	111400207	111400284	111400207	111400269	111404677	111404839
25	"ENSMUSG00000025665.16"	"Rps6ka6"	chrX	-	111462849	111463101	111462849	111463098	111486668	111486800
26	"ENSMUSG00000033792.12"	"Atp7a"	chrX	+	106088334	106088517	106088337	106088517	106086088	106086814
27	"ENSMUSG00000031232.17"	"Magt1"	chrX	-	105968083	105971479	105968083	105971026	105974184	105974275
28	"ENSMUSG00000031229.16"	"Atrx"	chrX	-	105832446	105832591	105832446	105832577	105836309	105836427
29	"ENSMUSG00000031229.16"	"Atrx"	chrX	-	105879908	105880018	105879908	105880015	105884306	105884420
