ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1016056	1017508	1016056	1016191	1017363	1017508
40	"ENSMUSG00000002014.12"	"Ssr4"	chrX	+	73789799	73790424	73789799	73789874	73790358	73790424
43	"ENSMUSG00000031385.14"	"Plxnb3"	chrX	+	73766940	73767672	73766940	73767180	73767520	73767672
126	"ENSMUSG00000024807.18"	"Syvn1"	chr19	+	6050521	6051310	6050521	6050685	6051154	6051310
154	"ENSMUSG00000019578.11"	"Ubxn6"	chr17	-	56069690	56070985	56069690	56069775	56070887	56070985
168	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70467334	70468517	70467334	70467485	70468053	70468517
189	"ENSMUSG00000024454.16"	"Hdac3"	chr18	-	37940952	37941766	37940952	37941110	37941707	37941766
213	"ENSMUSG00000024404.7"	"Riok3"	chr18	+	12135851	12137035	12135851	12135967	12136927	12137035
246	"ENSMUSG00000002835.9"	"Chaf1a"	chr17	+	56063327	56065425	56063327	56063420	56064973	56065425
253	"ENSMUSG00000040260.8"	"Daam2"	chr17	-	49473285	49476555	49473285	49473392	49476447	49476555
311	"ENSMUSG00000037321.17"	"Tap1"	chr17	+	34189177	34190768	34189177	34189292	34190562	34190768
318	"ENSMUSG00000024325.8"	"Ring1"	chr17	-	34021682	34023194	34021682	34021956	34022978	34023194
363	"ENSMUSG00000061046.9"	"Haghl"	chr17	-	25784074	25784572	25784074	25784178	25784454	25784572
395	"ENSMUSG00000068039.13"	"Tcp1"	chr17	+	12918042	12919925	12918042	12918171	12919814	12919925
421	"ENSMUSG00000091625.8"	"Lsm5"	chr6	-	56703005	56703409	56703005	56703033	56703317	56703409
452	"ENSMUSG00000027569.15"	"Mrgbp"	chr2	+	180583400	180584871	180583400	180583522	180584693	180584871
454	"ENSMUSG00000027569.15"	"Mrgbp"	chr2	+	180583400	180584871	180583400	180583522	180584796	180584871
459	"ENSMUSG00000012017.4"	"Scarf2"	chr16	+	17804305	17804924	17804305	17804409	17804808	17804924
465	"ENSMUSG00000007610.15"	"Gtpbp3"	chr8	+	71490334	71491590	71490334	71490537	71491424	71491590
488	"ENSMUSG00000023011.8"	"Faim2"	chr15	-	99512780	99520355	99512780	99512868	99520301	99520355
496	"ENSMUSG00000003352.14"	"Cacnb3"	chr15	+	98641399	98642090	98641399	98641458	98641938	98642090
516	"ENSMUSG00000015377.10"	"Dennd6b"	chr15	-	89186362	89187243	89186362	89186427	89186955	89187243
543	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76593937	76594447	76593937	76594051	76594363	76594447
555	"ENSMUSG00000022552.16"	"Sharpin"	chr15	-	76347481	76348004	76347481	76347594	76347895	76348004
567	"ENSMUSG00000052752.15"	"Traf7"	chr17	-	24509955	24510572	24509955	24510075	24510455	24510572
571	"ENSMUSG00000022558.16"	"Mroh1"	chr15	+	76427511	76428385	76427511	76427656	76428243	76428385
579	"ENSMUSG00000002372.9"	"Ranbp3"	chr17	+	56701022	56702890	56701022	56701088	56702762	56702890
584	"ENSMUSG00000046711.16"	"Hmga1"	chr17	+	27556667	27557066	27556667	27556749	27556951	27557066
611	"ENSMUSG00000022111.9"	"Uchl3"	chr14	+	101665760	101668576	101665760	101665889	101668528	101668576
630	"ENSMUSG00000027893.14"	"Ahcyl1"	chr3	-	107673435	107675154	107673435	107673538	107675010	107675154
640	"ENSMUSG00000022617.15"	"Chkb"	chr15	-	89428133	89428827	89428133	89428229	89428713	89428827
681	"ENSMUSG00000006289.14"	"Osgep"	chr14	-	50916799	50917503	50916799	50916865	50917453	50917503
690	"ENSMUSG00000053205.9"	"Styx"	chr14	+	45367681	45368471	45367681	45367718	45368420	45368471
697	"ENSMUSG00000046169.10"	"Adamts6"	chr13	+	104444814	104445704	104444814	104444953	104445615	104445704
703	"ENSMUSG00000115987.1"	"Vps28"	chr15	-	76623170	76624175	76623170	76623272	76624085	76624175
724	"ENSMUSG00000009108.15"	"Gnat2"	chr3	+	108095438	108096507	108095438	108095662	108096349	108096507
742	"ENSMUSG00000021692.9"	"Dimt1"	chr13	+	106948700	106949785	106948700	106948787	106949691	106949785
827	"ENSMUSG00000027297.14"	"Ltk"	chr2	-	119752065	119752598	119752065	119752156	119752496	119752598
854	"ENSMUSG00000006740.14"	"Kif5b"	chr18	-	6210699	6211252	6210699	6210804	6211191	6211252
869	"ENSMUSG00000073433.11"	"Arhgdig"	chr17	-	26199751	26200370	26199751	26199828	26200190	26200370
896	"ENSMUSG00000021235.13"	"Coq6"	chr12	+	84370255	84371558	84370255	84371031	84371450	84371558
993	"ENSMUSG00000008855.17"	"Hdac5"	chr11	-	102196538	102197436	102196538	102196672	102197338	102197436
1004	"ENSMUSG00000039307.16"	"Hexdc"	chr11	+	121220863	121221590	121220863	121221161	121221500	121221590
1021	"ENSMUSG00000024948.15"	"Map4k2"	chr19	+	6341766	6342310	6341766	6341834	6342254	6342310
1039	"ENSMUSG00000026349.14"	"Ccnt2"	chr1	+	127791604	127795800	127791604	127791733	127795254	127795800
1048	"ENSMUSG00000022489.6"	"Pde1b"	chr15	+	103526983	103528344	103526983	103527092	103528221	103528344
1064	"ENSMUSG00000000632.13"	"Sez6"	chr11	+	77973782	77974636	77973782	77973977	77974439	77974636
1115	"ENSMUSG00000001034.17"	"Mapk7"	chr11	-	61492903	61494266	61492903	61493185	61493646	61494266
1128	"ENSMUSG00000022756.17"	"Slc7a4"	chr16	-	17573555	17574586	17573555	17573664	17574473	17574586
1165	"ENSMUSG00000005917.15"	"Otx1"	chr11	-	21998369	22001189	21998369	21998521	22001121	22001189
1184	"ENSMUSG00000023764.18"	"Sfi1"	chr11	-	3133071	3135542	3133071	3133207	3135282	3135542
1215	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035982	161037315	161035982	161036014	161036819	161037315
1216	"ENSMUSG00000053332.13"	"Gas5"	chr1	+	161035982	161037315	161035982	161036244	161036819	161037315
1262	"ENSMUSG00000040136.10"	"Abcc8"	chr7	-	46108314	46109643	46108314	46108435	46109540	46109643
1282	"ENSMUSG00000004933.17"	"Matk"	chr10	+	81261630	81262156	81261630	81261715	81261960	81262156
1291	"ENSMUSG00000055862.7"	"Izumo4"	chr10	+	80703729	80705373	80703729	80703928	80704417	80705373
1340	"ENSMUSG00000007603.9"	"Dus3l"	chr17	+	56768347	56768902	56768347	56768413	56768805	56768902
1349	"ENSMUSG00000035086.13"	"Becn1"	chr11	-	101294000	101295164	101294000	101294228	101294969	101295164
1370	"ENSMUSG00000019802.13"	"Sec63"	chr10	+	42796205	42798855	42796205	42796264	42798746	42798855
1375	"ENSMUSG00000021901.10"	"Bap1"	chr14	+	31257880	31258530	31257880	31258041	31258457	31258530
1380	"ENSMUSG00000061689.15"	"Dlgap4"	chr2	+	156748022	156748420	156748022	156748102	156748331	156748420
1457	"ENSMUSG00000041528.15"	"Rnf123"	chr9	-	108069171	108069801	108069171	108069282	108069675	108069801
1512	"ENSMUSG00000039768.16"	"Dnajc11"	chr4	+	151977998	151979586	151977998	151978068	151979443	151979586
1569	"ENSMUSG00000021240.6"	"Abcd4"	chr12	-	84612324	84612896	84612324	84612445	84612779	84612896
1585	"ENSMUSG00000032120.11"	"C2cd2l"	chr9	-	44313877	44315054	44313877	44314011	44314879	44315054
1586	"ENSMUSG00000032120.11"	"C2cd2l"	chr9	-	44313877	44315054	44313877	44314014	44314879	44315054
1595	"ENSMUSG00000022255.16"	"Mtdh"	chr15	+	34114023	34118110	34114023	34114108	34117879	34118110
1601	"ENSMUSG00000032128.15"	"Robo3"	chr9	-	37416696	37417801	37416696	37416920	37417690	37417801
1664	"ENSMUSG00000031939.16"	"Taf1d"	chr9	+	15311526	15314032	15311526	15311695	15313989	15314032
1666	"ENSMUSG00000031939.16"	"Taf1d"	chr9	+	15313989	15315131	15313989	15314032	15315101	15315131
1679	"ENSMUSG00000047193.16"	"Dync2h1"	chr9	-	7168458	7169709	7168458	7168572	7169476	7169709
1687	"ENSMUSG00000039048.15"	"Foxred1"	chr9	-	35209037	35210165	35209037	35209156	35209944	35210165
1736	"ENSMUSG00000022721.19"	"Trmt2a"	chr16	+	18250819	18251660	18250819	18251001	18251358	18251660
1739	"ENSMUSG00000031796.7"	"Cfap20"	chr8	-	95420248	95422246	95420248	95420669	95422057	95422246
1829	"ENSMUSG00000005150.16"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079691	85080053	85080225
1832	"ENSMUSG00000005150.16"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079691	85080119	85080225
1833	"ENSMUSG00000005150.16"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079707	85080119	85080225
1836	"ENSMUSG00000031691.14"	"Tnpo2"	chr8	+	85054721	85055253	85054721	85054797	85055178	85055253
1875	"ENSMUSG00000031878.18"	"Nae1"	chr8	-	104527377	104530116	104527377	104527449	104530055	104530116
1883	"ENSMUSG00000037552.17"	"Plekhg2"	chr7	-	28370237	28371042	28370237	28370494	28370877	28371042
1929	"ENSMUSG00000055629.5"	"B4galnt4"	chr7	+	141064459	141064907	141064459	141064555	141064806	141064907
1945	"ENSMUSG00000030815.11"	"Phkg2"	chr7	+	127577534	127578029	127577534	127577688	127577974	127578029
1965	"ENSMUSG00000030741.15"	"Spns1"	chr7	-	126373769	126375203	126373769	126373836	126375066	126375203
2001	"ENSMUSG00000028245.15"	"Nsmaf"	chr4	-	6418471	6421136	6418471	6418523	6420049	6421136
2009	"ENSMUSG00000021868.7"	"Ppif"	chr14	+	25696003	25698341	25696003	25696092	25698265	25698341
2098	"ENSMUSG00000022685.9"	"Parn"	chr16	-	13664655	13665981	13664655	13664737	13665901	13665981
2235	"ENSMUSG00000022843.17"	"Clcn2"	chr16	-	20712311	20712787	20712311	20712390	20712653	20712787
2270	"ENSMUSG00000053253.16"	"Ndfip2"	chr14	+	105298002	105304836	105298002	105298127	105304730	105304836
2279	"ENSMUSG00000074923.10"	"Pak6"	chr2	+	118693866	118694640	118693866	118694000	118694514	118694640
2284	"ENSMUSG00000026878.17"	"Rab14"	chr2	-	35180204	35183831	35180204	35182447	35183743	35183831
2295	"ENSMUSG00000027932.14"	"Slc27a3"	chr3	-	90386747	90387449	90386747	90386946	90387254	90387449
2324	"ENSMUSG00000024940.11"	"Ltbp3"	chr19	+	5748574	5748968	5748574	5748591	5748869	5748968
2408	"ENSMUSG00000024104.11"	"Washc2"	chr6	+	116254089	116255168	116254089	116254218	116255048	116255168
2439	"ENSMUSG00000030032.12"	"Wdr54"	chr6	-	83153516	83154975	83153516	83153617	83154921	83154975
2520	"ENSMUSG00000003549.9"	"Ercc1"	chr7	+	19355100	19355361	19355100	19355179	19355292	19355361
