ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
234	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1099581	1099752	1096860	1098573	1102764	1102891
235	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1129869	1130011	1102764	1102891	1131035	1131223
236	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1134871	1134986	1131035	1131223	1136847	1136996
237	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1136847	1136996	1131035	1131223	1137657	1137732
238	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871
242	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1197205	1197326	1189335	1189390	1199454	1199513
243	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1199454	1199513	1189335	1189390	1224496	1224546
245	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1199296	1199513	1245155	1245216
248	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1239710	1239819	1224496	1224546	1245155	1245216
250	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1011839	1011967	1011259	1011323	1012047	1012169
251	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1012047	1012169	1011259	1011323	1014633	1014792
253	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1019985	1020155	1016056	1017508	1023301	1023474
254	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	898549	898627	897787	898115	899427	899550
255	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	942823	942917	942441	942641	953149	953403
257	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169926953	169927669	169828158	169828225	169966062	169966158
259	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169976921	169977029	169966062	169966158	169981884	169982033
262	"ENSMUSG00000031355.16"	"Arhgap6"	chrX	+	169295041	169295131	169281960	169282058	169298420	169298469
263	"ENSMUSG00000031355.16"	"Arhgap6"	chrX	+	169298420	169298469	169281960	169282058	169300062	169300337
264	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167508201	167508333	167505445	167505565	167512207	167512315
265	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167522089	167522135	167515803	167515908	167604558	167604661
266	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167610870	167611031	167604558	167604661	167729018	167729135
267	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167897541	167897638	167729018	167729135	168122785	168123330
268	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167897541	167897638	167729018	167729135	168124004	168124290
270	"ENSMUSG00000025742.5"	"Prps2"	chrX	-	167350514	167350674	167346321	167348998	167352135	167352309
275	"ENSMUSG00000040586.8"	"Ofd1"	chrX	-	166413300	166413374	166411815	166411907	166414975	166415095
276	"ENSMUSG00000040586.8"	"Ofd1"	chrX	-	166424975	166425082	166414975	166415095	166426819	166426993
277	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166353564	166353684	166238971	166239136	166367027	166367174
278	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166353564	166353684	166238971	166239136	166372637	166372824
281	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166367027	166367174	166238971	166239136	166372637	166372824
284	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166372637	166372824	166344691	166345081	166375632	166375789
285	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166379987	166380159	166375632	166375789	166382448	166382522
286	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166382448	166382522	166375632	166375789	166386951	166388988
287	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166383934	166384000	166382448	166382522	166386951	166388988
291	"ENSMUSG00000040621.14"	"Gemin8"	chrX	+	166178791	166178830	166170453	166170550	166180352	166180792
