ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000099399.6"	"Gm28301"	chrY	-	90665942	90666127	90665345	90665414	90666855	90667037
1	"ENSMUSG00000100440.1"	"Gm28405"	chrY	+	88304120	88304304	88303208	88303394	88304831	88305320
2	"ENSMUSG00000099643.1"	"Gm29162"	chrY	+	88216343	88216527	88215428	88215614	88217053	88217542
3	"ENSMUSG00000101931.1"	"Gm28108"	chrY	+	87712003	87712187	87711088	87711274	87712713	87713202
4	"ENSMUSG00000100243.1"	"Gm28367"	chrY	+	87279173	87279357	87278258	87278444	87279883	87280371
5	"ENSMUSG00000100887.1"	"Gm29297"	chrY	+	86768100	86768284	86767186	86767372	86768810	86769299
6	"ENSMUSG00000102110.1"	"Gm28440"	chrY	+	86542244	86542428	86541330	86541516	86542955	86543444
7	"ENSMUSG00000101961.1"	"Gm28220"	chrY	+	86001800	86001984	86000884	86001070	86002510	86002999
8	"ENSMUSG00000101282.1"	"Gm28152"	chrY	+	85667627	85667811	85666712	85666898	85668337	85668826
9	"ENSMUSG00000099921.1"	"Gm28971"	chrY	+	85307143	85307327	85306228	85306414	85307853	85308342
10	"ENSMUSG00000101508.1"	"Gm28832"	chrY	+	83193765	83193949	83192850	83193036	83194475	83194964
11	"ENSMUSG00000100532.1"	"Gm28225"	chrY	+	82677766	82677950	82676851	82677037	82678477	82678966
12	"ENSMUSG00000100035.1"	"Gm29473"	chrY	+	82384226	82384410	82383311	82383497	82384936	82385425
13	"ENSMUSG00000101465.1"	"Gm29190"	chrY	+	80073881	80074065	80072966	80073152	80074592	80075081
14	"ENSMUSG00000102016.6"	"Gm29606"	chrY	+	79775046	79775230	79774088	79774316	79775756	79776245
15	"ENSMUSG00000099636.1"	"Gm28422"	chrY	+	79259533	79259717	79258618	79258804	79260256	79260745
16	"ENSMUSG00000101804.1"	"Gm28813"	chrY	+	78929833	78930017	78928918	78929104	78930544	78931033
17	"ENSMUSG00000100849.1"	"Gm28663"	chrY	+	78362666	78362850	78361751	78361937	78363376	78363865
18	"ENSMUSG00000101060.1"	"Gm29565"	chrY	+	78152891	78153075	78151976	78152162	78153602	78154091
19	"ENSMUSG00000100722.1"	"Gm29569"	chrY	+	77856133	77856317	77855218	77855404	77856843	77857332
20	"ENSMUSG00000099416.1"	"Gm28540"	chrY	+	77645715	77645899	77644800	77644986	77646425	77646914
21	"ENSMUSG00000100140.1"	"Gm28789"	chrY	+	75135773	75135957	75134858	75135044	75136484	75136973
22	"ENSMUSG00000101218.1"	"Gm29416"	chrY	+	74801928	74802112	74801013	74801199	74802638	74803127
23	"ENSMUSG00000100805.1"	"Gm29108"	chrY	+	74410413	74410597	74409498	74409684	74411124	74411613
24	"ENSMUSG00000101425.1"	"Gm29255"	chrY	+	73427353	73427537	73426438	73426624	73428064	73428553
25	"ENSMUSG00000100694.1"	"Gm29182"	chrY	+	72273965	72274149	72273050	72273236	72274675	72275164
26	"ENSMUSG00000101444.6"	"Gm29179"	chrY	-	72067113	72067297	72061302	72061436	72070676	72070724
27	"ENSMUSG00000101444.6"	"Gm29179"	chrY	-	72067113	72067297	72066528	72066598	72068694	72068792
28	"ENSMUSG00000101444.6"	"Gm29179"	chrY	-	72067992	72068035	72067208	72067297	72068694	72068792
29	"ENSMUSG00000101444.6"	"Gm29179"	chrY	-	72067992	72068210	72067113	72067297	72068694	72068825
30	"ENSMUSG00000101444.6"	"Gm29179"	chrY	-	72067992	72068210	72067113	72067297	72070676	72070712
31	"ENSMUSG00000101444.6"	"Gm29179"	chrY	-	72068694	72068825	72067992	72068210	72070676	72070730
32	"ENSMUSG00000101444.6"	"Gm29179"	chrY	-	72069135	72069372	72067113	72067297	72070676	72070756
33	"ENSMUSG00000100537.1"	"Gm28485"	chrY	+	71632003	71632187	71631088	71631274	71632713	71633202
34	"ENSMUSG00000101713.1"	"Gm28668"	chrY	+	71409289	71409473	71408374	71408560	71410000	71410489
35	"ENSMUSG00000101374.6"	"Gm28844"	chrY	-	71326103	71326287	71325518	71325588	71327684	71327782
36	"ENSMUSG00000101374.6"	"Gm28844"	chrY	-	71326103	71326287	71325518	71325588	71329664	71329712
37	"ENSMUSG00000101374.6"	"Gm28844"	chrY	-	71326982	71327025	71326199	71326287	71327684	71327782
38	"ENSMUSG00000101374.6"	"Gm28844"	chrY	-	71326982	71327200	71326103	71326287	71327684	71327815
39	"ENSMUSG00000101374.6"	"Gm28844"	chrY	-	71327684	71327815	71325543	71325588	71329664	71329718
40	"ENSMUSG00000101374.6"	"Gm28844"	chrY	-	71328125	71328362	71326103	71326287	71329664	71329716
41	"ENSMUSG00000101627.1"	"Gm28432"	chrY	+	70597497	70597681	70596582	70596768	70598207	70598696
42	"ENSMUSG00000101725.6"	"Gm29423"	chrY	-	70299558	70299742	70293746	70293880	70303151	70303199
43	"ENSMUSG00000101725.6"	"Gm29423"	chrY	-	70299558	70299742	70298973	70299043	70301139	70301237
44	"ENSMUSG00000101725.6"	"Gm29423"	chrY	-	70300437	70300480	70299654	70299742	70301139	70301237
45	"ENSMUSG00000101725.6"	"Gm29423"	chrY	-	70300437	70300655	70299558	70299742	70301139	70301270
46	"ENSMUSG00000101725.6"	"Gm29423"	chrY	-	70301580	70301817	70299558	70299742	70303151	70303231
47	"ENSMUSG00000100278.1"	"Gm28082"	chrY	+	70091933	70092117	70091018	70091204	70092643	70093132
48	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70011119	70011303	70010534	70010604	70012700	70012798
49	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70011119	70011303	70010534	70010604	70014707	70014755
50	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70011998	70012216	70011119	70011303	70012700	70012830
51	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70011998	70012216	70011119	70011303	70014707	70014743
52	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70012700	70012830	70010534	70010604	70014707	70014755
53	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70012700	70012830	70011998	70012216	70014707	70014755
54	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70013140	70013377	70011119	70011303	70014707	70014787
55	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70014296	70014483	70012552	70013377	70014707	70014865
56	"ENSMUSG00000099555.1"	"Gm28081"	chrY	+	69803882	69804066	69802967	69803153	69804592	69805081
57	"ENSMUSG00000102388.5"	"Gm33815"	chrY	+	69321547	69321734	69321131	69321323	69322669	69323494
58	"ENSMUSG00000102388.5"	"Gm33815"	chrY	+	69323830	69324047	69323216	69323346	69324742	69324926
59	"ENSMUSG00000101491.1"	"Gm28632"	chrY	-	69242533	69242717	69241517	69242006	69243446	69243632
60	"ENSMUSG00000101106.6"	"Gm28819"	chrY	+	68988053	68988290	68986660	68986741	68990128	68990312
61	"ENSMUSG00000101106.6"	"Gm28819"	chrY	+	68989215	68989433	68986705	68986741	68990128	68990271
62	"ENSMUSG00000101106.6"	"Gm28819"	chrY	+	68989215	68989433	68988633	68988731	68990128	68990271
63	"ENSMUSG00000101106.6"	"Gm28819"	chrY	+	68990128	68990312	68986693	68986741	68995973	68996107
64	"ENSMUSG00000101861.1"	"Gm29450"	chrY	-	68354863	68355047	68353848	68354337	68355776	68355962
65	"ENSMUSG00000101164.6"	"Gm29218"	chrY	+	67919318	67919555	67917930	67918010	67921393	67921577
66	"ENSMUSG00000101164.6"	"Gm29218"	chrY	+	67920480	67920698	67919898	67919996	67921393	67921577
67	"ENSMUSG00000101164.6"	"Gm29218"	chrY	+	67920655	67920698	67919898	67919996	67921393	67921481
68	"ENSMUSG00000101164.6"	"Gm29218"	chrY	+	67921393	67921577	67919898	67919996	67922092	67922134
69	"ENSMUSG00000101313.1"	"Gm29219"	chrY	-	67470625	67470809	67469610	67470099	67471538	67471724
70	"ENSMUSG00000101686.6"	"Gm29633"	chrY	-	67367356	67367540	67366773	67366841	67368937	67369035
71	"ENSMUSG00000101686.6"	"Gm29633"	chrY	-	67368235	67368453	67367356	67367540	67368937	67369068
72	"ENSMUSG00000101686.6"	"Gm29633"	chrY	-	67368937	67369068	67366796	67366841	67370947	67371026
73	"ENSMUSG00000101686.6"	"Gm29633"	chrY	-	67369378	67369615	67367356	67367540	67370947	67371027
74	"ENSMUSG00000099570.6"	"Gm29000"	chrY	-	67074183	67074367	67073176	67073668	67075764	67075862
75	"ENSMUSG00000099570.6"	"Gm29000"	chrY	-	67075062	67075105	67074279	67074367	67075764	67075862
76	"ENSMUSG00000099570.6"	"Gm29000"	chrY	-	67075062	67075280	67074183	67074367	67075764	67075894
77	"ENSMUSG00000101202.6"	"Gm28749"	chrY	-	66768214	66768398	66762401	66762535	66771806	66771885
78	"ENSMUSG00000101202.6"	"Gm28749"	chrY	-	66768214	66768398	66767629	66767699	66771806	66771885
79	"ENSMUSG00000101202.6"	"Gm28749"	chrY	-	66769093	66769311	66768214	66768398	66771806	66771842
80	"ENSMUSG00000101202.6"	"Gm28749"	chrY	-	66769795	66769925	66769093	66769311	66771806	66771860
81	"ENSMUSG00000101202.6"	"Gm28749"	chrY	-	66770235	66770472	66768214	66768398	66771806	66771886
82	"ENSMUSG00000101278.1"	"Gm29381"	chrY	+	66557077	66557261	66556162	66556348	66557787	66558276
83	"ENSMUSG00000101032.6"	"Gm29377"	chrY	+	66375349	66375586	66373973	66374025	66377424	66377608
84	"ENSMUSG00000101032.6"	"Gm29377"	chrY	+	66375896	66376027	66373889	66374025	66378123	66378193
85	"ENSMUSG00000101032.6"	"Gm29377"	chrY	+	66376511	66376729	66375896	66376027	66377424	66377608
86	"ENSMUSG00000101032.6"	"Gm29377"	chrY	+	66376686	66376729	66375929	66376027	66377424	66377512
87	"ENSMUSG00000101032.6"	"Gm29377"	chrY	+	66377424	66377608	66373977	66374025	66378123	66378168
88	"ENSMUSG00000101032.6"	"Gm29377"	chrY	+	66377424	66377608	66375929	66376027	66378123	66378168
89	"ENSMUSG00000101256.1"	"Gm28133"	chrY	-	66080025	66080209	66079006	66079498	66080938	66081124
90	"ENSMUSG00000101507.1"	"Gm29457"	chrY	+	65317608	65317792	65316693	65316879	65318319	65318808
91	"ENSMUSG00000101982.6"	"Gm28990"	chrY	-	65234353	65234537	65233795	65233837	65235934	65236032
92	"ENSMUSG00000101982.6"	"Gm28990"	chrY	-	65235232	65235450	65234353	65234537	65235934	65236032
93	"ENSMUSG00000101539.1"	"Gm28252"	chrY	+	64636968	64637152	64636053	64636239	64637678	64638168
94	"ENSMUSG00000099940.1"	"Gm29265"	chrY	+	64413186	64413370	64412271	64412457	64413897	64414386
95	"ENSMUSG00000101125.1"	"Gm29625"	chrY	+	63903927	63904111	63903012	63903198	63904637	63905126
96	"ENSMUSG00000099699.1"	"Gm29421"	chrY	+	63166572	63166756	63165657	63165843	63167283	63167772
97	"ENSMUSG00000101614.1"	"Gm29547"	chrY	+	62650336	62650520	62649420	62649606	62651046	62651535
98	"ENSMUSG00000099355.1"	"Gm29342"	chrY	+	61810495	61810679	61809580	61809766	61811205	61811695
99	"ENSMUSG00000100012.1"	"Gm29207"	chrY	+	61198110	61198291	61197199	61197382	61198818	61199308
100	"ENSMUSG00000100579.6"	"Gm28692"	chrY	+	60366087	60366271	60365178	60365360	60366799	60366868
101	"ENSMUSG00000101300.6"	"Gm29130"	chrY	-	59710518	59710703	59709921	59709990	59711430	59711608
