ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000099550.6"	"Gm28079"	chrY	-	70011119	70011303	70012700	70012830	70010534	70010604	70014707	70014755
1	"ENSMUSG00000101032.6"	"Gm29377"	chrY	+	66375896	66376027	66377424	66377608	66373977	66374025	66378123	66378193
2	"ENSMUSG00000118461.1"	"Gm21679"	chrY	-	29671838	29671905	29683261	29683393	29671255	29671290	29684577	29684609
3	"ENSMUSG00000118461.1"	"Gm21679"	chrY	-	29671838	29671905	29683261	29683396	29671255	29671290	29684577	29684609
4	"ENSMUSG00000118461.1"	"Gm21679"	chrY	-	29673635	29673703	29683261	29683393	29671838	29671905	29684577	29684609
5	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1199454	1199513	1224496	1224546	1189335	1189390	1239710	1239819
6	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1199454	1199513	1224496	1224546	1189335	1189390	1245155	1245219
7	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1239710	1239819	1199454	1199513	1245155	1245219
8	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169800739	169800792	169926953	169927669	169685198	169685372	169966062	169966158
9	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166353564	166353684	166367027	166367174	166344691	166345081	166372637	166372824
10	"ENSMUSG00000031379.13"	"Pir"	chrX	+	164271602	164271731	164280128	164280221	164269430	164269677	164295914	164295998
11	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	162903433	162903638	162910008	162910179	162901631	162901747	162913207	162913308
12	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	162903433	162903638	162910008	162910179	162901768	162901914	162913207	162913308
13	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160588964	160589018	160590167	160590368	160586778	160586949	160590938	160591141
14	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160588964	160589018	160590167	160590368	160586778	160586949	160598467	160598878
15	"ENSMUSG00000041020.14"	"Map7d2"	chrX	+	159460266	159460365	159462113	159462224	159459377	159459483	159469962	159470093
16	"ENSMUSG00000041115.16"	"Iqsec2"	chrX	+	152203931	152204333	152208769	152209665	152202907	152203169	152211209	152211371
17	"ENSMUSG00000041115.16"	"Iqsec2"	chrX	+	152208769	152209665	152211209	152211371	152203931	152204333	152212021	152212144
18	"ENSMUSG00000041718.16"	"Alg13"	chrX	+	144319898	144320002	144320002	144320061	144318002	144318121	144322011	144322150
19	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142834184	142834393	142841582	142841645	142832500	142832601	142842409	142843494
20	"ENSMUSG00000079418.3"	"Atg4a"	chrX	+	140988165	140988237	140988279	140988365	140986278	140986389	140990157	140990256
21	"ENSMUSG00000000266.11"	"Mid2"	chrX	+	140693066	140693162	140736434	140736542	140678027	140678711	140738319	140738468
22	"ENSMUSG00000042425.18"	"Frmpd3"	chrX	+	140362144	140362299	140368818	140368864	140342262	140342389	140384002	140384107
23	"ENSMUSG00000042425.18"	"Frmpd3"	chrX	+	140365728	140365831	140368818	140368864	140362144	140362299	140384002	140384107
24	"ENSMUSG00000042425.18"	"Frmpd3"	chrX	+	140368818	140368864	140384002	140384107	140365728	140365831	140388490	140388598
25	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137016248	137016339	137030025	137030099	137015256	137015382	137032350	137032500
26	"ENSMUSG00000049804.9"	"Armcx4"	chrX	+	134687147	134687225	134688016	134688106	134686518	134686637	134688449	134688532
27	"ENSMUSG00000025531.14"	"Chm"	chrX	-	113064846	113064943	113071916	113072021	113053061	113053160	113080137	113080215
28	"ENSMUSG00000031229.16"	"Atrx"	chrX	-	105899880	105899993	105910573	105910643	105890916	105890972	105911469	105911654
29	"ENSMUSG00000033906.5"	"Zdhhc15"	chrX	-	104588300	104588421	104598091	104598186	104574168	104574238	104632583	104632610
30	"ENSMUSG00000033906.5"	"Zdhhc15"	chrX	-	104598091	104598186	104632583	104632610	104588300	104588421	104670663	104671064
31	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103496437	103496530	103502859	103502930	103493563	103493700	103509269	103510017
32	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103496437	103496530	103502859	103503192	103493563	103493700	103518310	103518357
33	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103496437	103496530	103524866	103524996	103493563	103493700	103529644	103530710
34	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103496437	103496530	103524866	103524996	103493575	103493700	103564966	103565696
35	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103502859	103503192	103518310	103518357	103496437	103496530	103524866	103524996
36	"ENSMUSG00000031310.16"	"Zmym3"	chrX	-	101417286	101417330	101418272	101418952	101416908	101416981	101420539	101420685
37	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100808052	100808152	100809861	100809907	100807179	100807255	100811501	100811543
38	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100808052	100808152	100809861	100809907	100807179	100807255	100812725	100812776
39	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100808052	100808152	100811501	100811543	100807179	100807255	100812725	100812776
40	"ENSMUSG00000000881.12"	"Dlg3"	chrX	+	100809861	100809907	100811501	100811543	100807179	100807255	100812725	100812776
41	"ENSMUSG00000035150.15"	"Eif2s3x"	chrX	-	94196271	94196444	94197287	94197457	94188706	94190922	94199713	94199858
42	"ENSMUSG00000035150.15"	"Eif2s3x"	chrX	-	94197287	94197457	94199713	94199858	94196271	94196444	94200889	94200984
43	"ENSMUSG00000031400.10"	"G6pdx"	chrX	-	74411965	74412091	74412318	74412477	74411564	74411658	74413863	74414081
44	"ENSMUSG00000031400.10"	"G6pdx"	chrX	-	74411965	74412091	74412318	74412480	74411564	74411658	74413863	74414081
45	"ENSMUSG00000031399.15"	"Fam3a"	chrX	-	74387627	74387751	74390473	74390497	74387437	74387496	74390990	74391104
46	"ENSMUSG00000031399.15"	"Fam3a"	chrX	-	74390473	74390497	74390990	74391104	74387627	74387751	74392674	74392727
47	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74283931	74284017	74288018	74288099	74283647	74283693	74288177	74288219
48	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288018	74288099	74288177	74288219	74283647	74283693	74288450	74288513
49	"ENSMUSG00000009995.17"	"Taz"	chrX	+	74288661	74288714	74288928	74289019	74288450	74288513	74289104	74289182
50	"ENSMUSG00000031389.17"	"Arhgap4"	chrX	-	73904247	73904469	73905650	73905863	73900634	73900736	73906428	73906591
51	"ENSMUSG00000031389.17"	"Arhgap4"	chrX	-	73904247	73904469	73906156	73906219	73900634	73900736	73906428	73906591
52	"ENSMUSG00000031389.17"	"Arhgap4"	chrX	-	73905650	73905863	73906156	73906219	73900634	73900736	73906428	73906591
53	"ENSMUSG00000002014.12"	"Ssr4"	chrX	+	73790030	73790120	73790358	73790424	73789799	73789874	73790653	73790811
54	"ENSMUSG00000002010.17"	"Idh3g"	chrX	-	73782005	73782103	73782297	73782309	73781676	73781789	73782674	73782716
55	"ENSMUSG00000031371.14"	"Haus7"	chrX	-	73448810	73448902	73452998	73453060	73448191	73448350	73454866	73454934
56	"ENSMUSG00000031343.13"	"Gabra3"	chrX	-	72451503	72451656	72511304	72511372	72445174	72445386	72540062	72540184
57	"ENSMUSG00000031343.13"	"Gabra3"	chrX	-	72459588	72459732	72511304	72511372	72451503	72451656	72540062	72540184
58	"ENSMUSG00000031343.13"	"Gabra3"	chrX	-	72476225	72476308	72540062	72540184	72459588	72459732	72552676	72552851
59	"ENSMUSG00000031343.13"	"Gabra3"	chrX	-	72501078	72501299	72540062	72540184	72476225	72476308	72552676	72552851
60	"ENSMUSG00000035776.14"	"Cd99l2"	chrX	-	71441073	71441145	71450610	71450673	71440524	71440611	71492521	71492849
61	"ENSMUSG00000015214.14"	"Mtmr1"	chrX	+	71376886	71376910	71379013	71379064	71369798	71369904	71383199	71383275
62	"ENSMUSG00000015214.14"	"Mtmr1"	chrX	+	71377603	71377630	71379013	71379064	71376886	71376910	71383199	71383275
63	"ENSMUSG00000059401.14"	"Mamld1"	chrX	+	71121357	71121468	71146185	71146435	71117480	71119394	71152189	71152274
64	"ENSMUSG00000035847.15"	"Ids"	chrX	-	70358266	70358437	70362976	70363154	70353143	70353270	70363801	70363938
65	"ENSMUSG00000035847.15"	"Ids"	chrX	-	70361042	70361131	70362976	70363154	70359948	70360149	70363801	70363938
66	"ENSMUSG00000000838.17"	"Fmr1"	chrX	+	68708041	68708128	68710583	68710779	68705248	68705380	68712230	68712413
67	"ENSMUSG00000000838.17"	"Fmr1"	chrX	+	68708041	68708128	68710583	68710779	68705248	68705380	68712305	68712413
68	"ENSMUSG00000118604.1"	"BX322656.1"	chrX	+	61122011	61122159	61133365	61133503	61119341	61119424	61134720	61134796
69	"ENSMUSG00000062184.11"	"Hs6st2"	chrX	-	51428657	51428744	51471373	51471406	51387211	51390361	51679889	51680408
70	"ENSMUSG00000001986.16"	"Gria3"	chrX	+	41401528	41401655	41402800	41402959	41400853	41401257	41478559	41478799
71	"ENSMUSG00000001986.16"	"Gria3"	chrX	+	41402800	41402959	41478559	41478799	41401303	41401655	41541075	41541263
72	"ENSMUSG00000001986.16"	"Gria3"	chrX	+	41654809	41654924	41669500	41669615	41654005	41654253	41672218	41672466
73	"ENSMUSG00000036502.14"	"Tmem255a"	chrX	-	38225053	38225125	38226887	38226956	38224580	38224669	38233102	38233192
