ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
234	"ENSMUSG00000069044.6"	"Usp9y"	chrY	-	1352149	1352275	1351861	1351987	1356138	1356417
235	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1099581	1099752	1096860	1098573	1102764	1102891
236	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1134871	1134986	1131035	1131223	1136847	1136996
237	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1136847	1136996	1131035	1131223	1137657	1137732
238	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1136847	1136996	1131035	1131223	1137806	1137871
239	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1131035	1131223	1137806	1137871
240	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871
249	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1016056	1016191	1014633	1014792	1017363	1017508
250	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1016589	1016684	1016056	1016191	1017363	1017508
251	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1019985	1020155	1016056	1017508	1023301	1023474
252	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1023301	1023474	1016056	1017508	1028187	1028594
253	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	898549	898627	897787	898115	899427	899550
254	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	939818	939957	937812	938171	940598	940778
257	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169976921	169977029	169966062	169966158	169981884	169982033
259	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169984998	169985142	169983955	169984083	169985935	169986097
260	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169985935	169986097	169983955	169984083	169987558	169987766
262	"ENSMUSG00000087159.7"	"Gm15246"	chrX	+	169330697	169330779	169323001	169323101	169360986	169361095
263	"ENSMUSG00000031355.16"	"Arhgap6"	chrX	+	169295041	169295131	169281960	169282058	169298420	169298469
264	"ENSMUSG00000031355.16"	"Arhgap6"	chrX	+	169298420	169298469	169281960	169282058	169300062	169300337
265	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167497812	167497949	167492872	167492999	167505445	167505565
266	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167508201	167508333	167505445	167505565	167512207	167512315
267	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167604558	167604661	167522089	167522135	167729018	167729135
268	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167610870	167611031	167604558	167604661	167729018	167729135
269	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167729018	167729135	167522089	167522135	168447947	168448042
270	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167897541	167897638	167729018	167729135	168122785	168123330
271	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167897541	167897638	167729018	167729135	168124004	168124290
273	"ENSMUSG00000025742.5"	"Prps2"	chrX	-	167350514	167350674	167346321	167348998	167352135	167352309
274	"ENSMUSG00000025742.5"	"Prps2"	chrX	-	167352135	167352309	167350514	167350674	167363544	167363669
275	"ENSMUSG00000025742.5"	"Prps2"	chrX	-	167363544	167363669	167352135	167352309	167365118	167365217
280	"ENSMUSG00000040586.8"	"Ofd1"	chrX	-	166413300	166413374	166411815	166411907	166414975	166415095
281	"ENSMUSG00000040586.8"	"Ofd1"	chrX	-	166424975	166425082	166414975	166415095	166426819	166426993
282	"ENSMUSG00000040586.8"	"Ofd1"	chrX	-	166428527	166428635	166427167	166427304	166431688	166431719
283	"ENSMUSG00000040586.8"	"Ofd1"	chrX	-	166435334	166435535	166431801	166431870	166440028	166440127
284	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166353564	166353684	166238971	166239136	166367027	166367174
285	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166353564	166353684	166238971	166239136	166372637	166372824
288	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166367027	166367174	166238971	166239136	166372637	166372824
291	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166379987	166380159	166375632	166375789	166382448	166382522
292	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166383934	166384000	166382448	166382522	166386951	166388988
