ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
10	"ENSMUSG00000047757.17"	"Fancb"	chrX	+	164995886	164996121	164995978	164996121	164995343	164995422
11	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162786616	162787678	162786616	162786691	162790611	162790806
12	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162811291	162811595	162811291	162811388	162829238	162829454
14	"ENSMUSG00000041096.13"	"Tspyl2"	chrX	-	152340085	152340380	152340085	152340197	152341539	152342425
19	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137015256	137016339	137015256	137015382	137027989	137028154
20	"ENSMUSG00000044348.14"	"Slc25a53"	chrX	-	137016248	137016339	137016248	137016335	137027989	137028154
27	"ENSMUSG00000031232.17"	"Magt1"	chrX	-	105968083	105971479	105968083	105971026	105974184	105974275
41	"ENSMUSG00000043549.13"	"Fam90a1b"	chrX	-	94365658	94365856	94365658	94365743	94366630	94366777
48	"ENSMUSG00000031399.15"	"Fam3a"	chrX	-	74392674	74392747	74392674	74392727	74392888	74393003
66	"ENSMUSG00000031343.13"	"Gabra3"	chrX	-	72552676	72552859	72552676	72552851	72656654	72656848
67	"ENSMUSG00000015217.11"	"Hmgb3"	chrX	+	71558052	71558207	71558056	71558207	71555927	71556190
69	"ENSMUSG00000000838.17"	"Fmr1"	chrX	+	68712230	68712413	68712305	68712413	68708041	68708128
77	"ENSMUSG00000036916.13"	"Zfp280c"	chrX	-	48578379	48578556	48578379	48578529	48591672	48591761
79	"ENSMUSG00000016150.15"	"Tenm1"	chrX	-	43167537	43167842	43167537	43167817	43410698	43410751
81	"ENSMUSG00000037475.15"	"Thoc2"	chrX	-	41812458	41812575	41812458	41812494	41813416	41814008
83	"ENSMUSG00000037475.15"	"Thoc2"	chrX	-	41814197	41814628	41814197	41814620	41822367	41822470
89	"ENSMUSG00000054737.11"	"Zfp182"	chrX	-	21060502	21060528	21060502	21060523	21061893	21062003
90	"ENSMUSG00000054737.11"	"Zfp182"	chrX	-	21060502	21060528	21060502	21060523	21061942	21062316
96	"ENSMUSG00000074733.14"	"Zfp950"	chr19	-	61118226	61118350	61118226	61118347	61120318	61120452
97	"ENSMUSG00000074733.14"	"Zfp950"	chr19	-	61118226	61118350	61118226	61118347	61127006	61127067
113	"ENSMUSG00000037126.16"	"Psd"	chr19	-	46326166	46326222	46326166	46326182	46326400	46326506
130	"ENSMUSG00000094707.2"	"A830019P07Rik"	chr19	-	35923486	35923547	35923486	35923544	35924369	35924578
138	"ENSMUSG00000040146.9"	"Rgl3"	chr9	-	21987850	21987904	21987850	21987899	21988848	21988959
168	"ENSMUSG00000024949.17"	"Sf1"	chr19	+	6374548	6374608	6374553	6374608	6374009	6374287
172	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126819823	126819954	126819827	126819954	126818293	126818353
173	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126819823	126819954	126819827	126819954	126818293	126818393
174	"ENSMUSG00000024944.6"	"Arl2"	chr19	-	6135978	6137640	6135978	6136059	6137729	6137840
181	"ENSMUSG00000024909.15"	"Efemp2"	chr19	+	5475060	5475178	5475151	5475178	5473953	5474453
182	"ENSMUSG00000024909.15"	"Efemp2"	chr19	+	5475060	5475178	5475151	5475178	5473972	5474323
183	"ENSMUSG00000024909.15"	"Efemp2"	chr19	+	5475060	5475178	5475151	5475178	5474314	5474395
198	"ENSMUSG00000024830.17"	"Rps6kb2"	chr19	-	4162602	4162723	4162602	4162718	4162821	4162862
199	"ENSMUSG00000024830.17"	"Rps6kb2"	chr19	-	4162602	4162723	4162602	4162718	4163167	4163300
201	"ENSMUSG00000024845.17"	"Tmem134"	chr19	+	4127549	4127639	4127576	4127639	4127056	4127132
207	"ENSMUSG00000024851.14"	"Pitpnm1"	chr19	+	4106711	4107975	4107785	4107975	4106563	4106625
215	"ENSMUSG00000031154.15"	"Otud5"	chrX	+	7867514	7867823	7867666	7867823	7856303	7856397
223	"ENSMUSG00000019578.11"	"Ubxn6"	chr17	-	56069690	56070985	56069690	56069775	56072400	56072529
233	"ENSMUSG00000024561.11"	"Mbd1"	chr18	+	74277300	74277578	74277516	74277578	74276801	74276939
240	"ENSMUSG00000024889.5"	"Rce1"	chr19	-	4624013	4624181	4624013	4624151	4624659	4624763
248	"ENSMUSG00000024587.10"	"Nars"	chr18	-	64501302	64501875	64501302	64501434	64503507	64503621
250	"ENSMUSG00000024587.10"	"Nars"	chr18	-	64515325	64515408	64515325	64515405	64516486	64516528
251	"ENSMUSG00000024588.9"	"Fech"	chr18	-	64457264	64458714	64457264	64458217	64461520	64461685
256	"ENSMUSG00000001751.9"	"Naglu"	chr11	+	101073846	101074103	101073932	101074103	101072216	101072302
263	"ENSMUSG00000039652.16"	"Cpeb3"	chr19	-	37088419	37088587	37088419	37088560	37105790	37105814
269	"ENSMUSG00000040374.13"	"Pex2"	chr3	-	5560499	5561764	5560499	5561760	5562668	5562732
280	"ENSMUSG00000036501.7"	"Fam13b"	chr18	-	34494598	34494776	34494598	34494693	34497333	34497903
281	"ENSMUSG00000036501.7"	"Fam13b"	chr18	-	34494598	34494776	34494598	34494693	34499685	34499852
284	"ENSMUSG00000024384.4"	"Iws1"	chr18	+	32083265	32083458	32083268	32083458	32079670	32080577
290	"ENSMUSG00000024268.16"	"Celf4"	chr18	-	25504889	25505018	25504889	25505015	25537706	25537755
293	"ENSMUSG00000002496.10"	"Tsc2"	chr17	-	24596854	24597063	24596854	24596953	24597204	24597283
320	"ENSMUSG00000024044.19"	"Epb41l3"	chr17	+	69207858	69208076	69207885	69208076	69075751	69075995
323	"ENSMUSG00000075028.12"	"Prdm11"	chr2	-	92972017	92975861	92972017	92974182	92980510	92980698
342	"ENSMUSG00000026782.15"	"Abi2"	chr1	+	60470665	60470839	60470671	60470839	60453603	60453762
345	"ENSMUSG00000017843.14"	"Ppp2r5c"	chr12	+	110567727	110569055	110568953	110569055	110561297	110561468
355	"ENSMUSG00000024614.7"	"Tmx3"	chr18	+	90533220	90534438	90534381	90534438	90532982	90533040
362	"ENSMUSG00000059409.9"	"Ppp2r5d"	chr17	-	46682990	46684377	46682990	46684126	46684505	46684578
363	"ENSMUSG00000023971.9"	"Rrp36"	chr17	-	46672524	46672847	46672524	46672591	46674196	46674287
374	"ENSMUSG00000024012.18"	"Mtch1"	chr17	-	29333513	29333842	29333513	29333589	29333957	29334005
412	"ENSMUSG00000072825.11"	"Cep170b"	chr12	+	112732499	112732558	112732501	112732558	112732004	112732083
415	"ENSMUSG00000040356.16"	"Skiv2l"	chr17	-	34846866	34847324	34846866	34846995	34847407	34847461
426	"ENSMUSG00000073422.11"	"H2-Ke6"	chr17	-	34026032	34026470	34026032	34026225	34026662	34026705
427	"ENSMUSG00000073422.11"	"H2-Ke6"	chr17	-	34026032	34026470	34026032	34026225	34026850	34026935
432	"ENSMUSG00000002308.16"	"Cd320"	chr17	+	33847494	33848178	33848016	33848178	33846015	33846141
434	"ENSMUSG00000079557.11"	"Marchf2"	chr17	-	33691514	33692203	33691514	33692153	33703012	33703208
435	"ENSMUSG00000059208.15"	"Hnrnpm"	chr17	-	33666493	33666685	33666493	33666529	33668984	33669078
436	"ENSMUSG00000073423.10"	"Zfp414"	chr17	+	33629780	33630079	33629796	33630079	33629621	33629698
476	"ENSMUSG00000024193.8"	"Phf1"	chr17	+	26936286	26936680	26936511	26936680	26936123	26936191
486	"ENSMUSG00000061046.9"	"Haghl"	chr17	-	25783502	25783886	25783502	25783582	25784074	25784178
490	"ENSMUSG00000039754.10"	"Alkbh4"	chr5	+	136139337	136139535	136139461	136139535	136136157	136136399
497	"ENSMUSG00000024160.16"	"Spsb3"	chr17	+	24890567	24890935	24890832	24890935	24890282	24890460
509	"ENSMUSG00000032855.6"	"Pkd1"	chr17	+	24591014	24591217	24591174	24591217	24587927	24588021
511	"ENSMUSG00000079657.10"	"Rab26"	chr17	-	24530054	24530443	24530054	24530120	24530642	24530709
516	"ENSMUSG00000036473.16"	"Tbc1d24"	chr17	-	24183693	24183852	24183693	24183848	24184380	24184398
522	"ENSMUSG00000068015.8"	"Lrch1"	chr14	-	74793126	74793231	74793126	74793184	74794910	74794991
538	"ENSMUSG00000033285.15"	"Wdr3"	chr3	-	100159765	100159975	100159765	100159920	100160817	100160881
541	"ENSMUSG00000097785.2"	"B230217O12Rik"	chr19	-	57324595	57324797	57324595	57324793	57360013	57360775
542	"ENSMUSG00000097785.2"	"B230217O12Rik"	chr19	-	57324595	57324797	57324595	57324793	57360610	57360739
555	"ENSMUSG00000073468.12"	"Sft2d1"	chr17	+	8321799	8323335	8323276	8323335	8320599	8320681
579	"ENSMUSG00000054874.12"	"Pcnx3"	chr19	-	5681431	5681574	5681431	5681553	5683276	5683412
581	"ENSMUSG00000054874.12"	"Pcnx3"	chr19	-	5681431	5681592	5681431	5681553	5683306	5683412
582	"ENSMUSG00000054874.12"	"Pcnx3"	chr19	-	5681431	5681592	5681431	5681574	5683306	5683412
607	"ENSMUSG00000115958.1"	"Gm28040"	chr1	+	133327134	133327340	133327209	133327340	133323965	133324048
610	"ENSMUSG00000055447.19"	"Cd47"	chr16	+	49910868	49911081	49910873	49911081	49906780	49906812
613	"ENSMUSG00000036699.12"	"Zcchc12"	chrX	+	36196508	36196567	36196511	36196567	36196103	36196158
618	"ENSMUSG00000086324.8"	"Gm15564"	chr16	-	35967486	35967520	35967486	35967517	35983051	35983230
631	"ENSMUSG00000022884.16"	"Eif4a2"	chr16	+	23108584	23108633	23108587	23108633	23107770	23107880
632	"ENSMUSG00000022884.16"	"Eif4a2"	chr16	+	23109984	23110343	23110233	23110343	23108718	23108851
633	"ENSMUSG00000022884.16"	"Eif4a2"	chr16	+	23110579	23111263	23111125	23111263	23110233	23110343
641	"ENSMUSG00000045983.16"	"Eif4g1"	chr16	+	20681733	20681922	20681736	20681922	20681182	20681316
646	"ENSMUSG00000046613.19"	"Vwa5b2"	chr16	+	20590156	20590281	20590164	20590281	20589583	20589646
650	"ENSMUSG00000028975.16"	"Pex14"	chr4	-	148967523	148970635	148967523	148967626	148984036	148984165
651	"ENSMUSG00000027569.15"	"Mrgbp"	chr2	+	180584405	180584871	180584796	180584871	180583400	180583522
663	"ENSMUSG00000022761.12"	"Lztr1"	chr16	+	17525238	17525344	17525252	17525344	17524307	17524457
670	"ENSMUSG00000038178.16"	"Slc43a2"	chr11	+	75560820	75560991	75560898	75560991	75532587	75532788
671	"ENSMUSG00000038178.16"	"Slc43a2"	chr11	+	75560820	75560991	75560898	75560991	75545753	75545830
682	"ENSMUSG00000022515.6"	"Anks3"	chr16	-	4947648	4948363	4947648	4947758	4950612	4950768
684	"ENSMUSG00000039637.15"	"Coro7"	chr16	-	4635383	4635460	4635383	4635438	4638669	4638811
685	"ENSMUSG00000039637.15"	"Coro7"	chr16	-	4635383	4635460	4635383	4635438	4655009	4655092
706	"ENSMUSG00000022999.15"	"Lmbr1l"	chr15	-	98908519	98908759	98908519	98908596	98908848	98908921
712	"ENSMUSG00000036158.12"	"Prickle1"	chr15	-	93512449	93512636	93512449	93512633	93519263	93519523
713	"ENSMUSG00000036158.12"	"Prickle1"	chr15	-	93512449	93512636	93512449	93512633	93595693	93595891
722	"ENSMUSG00000015377.10"	"Dennd6b"	chr15	-	89185361	89185647	89185361	89185464	89185993	89186047
723	"ENSMUSG00000015377.10"	"Dennd6b"	chr15	-	89186171	89186819	89186171	89186261	89186955	89187243
743	"ENSMUSG00000005986.16"	"Ankrd13d"	chr19	-	4281917	4282042	4281917	4282034	4282880	4283137
755	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76594152	76594447	76594363	76594447	76593937	76594051
756	"ENSMUSG00000022552.16"	"Sharpin"	chr15	-	76347258	76347594	76347258	76347387	76347895	76348004
757	"ENSMUSG00000022552.16"	"Sharpin"	chr15	-	76347258	76347817	76347258	76347387	76347895	76348004
758	"ENSMUSG00000022552.16"	"Sharpin"	chr15	-	76347258	76347817	76347258	76347594	76347895	76348004
