ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
234	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1134871	1134986	1131035	1131223	1137657	1137732
235	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1136847	1136996	1134871	1134986	1137657	1137732
236	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1136847	1136996	1134871	1134986	1137806	1137871
237	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1134871	1134986	1137806	1137871
238	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871
243	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1199296	1199513	1245155	1245216
246	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1239710	1239819	1224496	1224546	1245155	1245216
249	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1019985	1020155	1016056	1017508	1023301	1023474
250	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1019985	1020155	1016056	1017508	1028187	1028594
251	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1023301	1023474	1016056	1017508	1028187	1028594
252	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1023301	1023474	1019985	1020155	1028187	1028594
253	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	898549	898627	897787	898115	899427	899550
254	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	910447	910586	900478	900613	910685	910849
255	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	927244	927439	927006	927126	927709	927891
259	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169984998	169985142	169983955	169984083	169985935	169986097
260	"ENSMUSG00000035299.16"	"Mid1"	chrX	+	169985935	169986097	169983955	169984083	169987558	169987766
262	"ENSMUSG00000087159.7"	"Gm15246"	chrX	+	169323001	169323101	169322749	169322842	169360986	169361095
263	"ENSMUSG00000087159.7"	"Gm15246"	chrX	+	169330697	169330779	169323001	169323101	169360986	169361095
264	"ENSMUSG00000031355.16"	"Arhgap6"	chrX	+	169295041	169295131	169281960	169282058	169298420	169298469
265	"ENSMUSG00000031355.16"	"Arhgap6"	chrX	+	169295041	169295131	169281960	169282058	169300062	169300337
266	"ENSMUSG00000031355.16"	"Arhgap6"	chrX	+	169298420	169298469	169281960	169282058	169300062	169300337
267	"ENSMUSG00000031355.16"	"Arhgap6"	chrX	+	169298420	169298469	169295041	169295131	169300062	169300337
268	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167486795	167486934	167478463	167479522	167488986	167489169
269	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167505445	167505565	167497812	167497949	167512207	167512315
270	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167508201	167508333	167505445	167505565	167512207	167512315
271	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167522089	167522135	167515803	167515908	167604558	167604661
272	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167604558	167604661	167522089	167522135	167610870	167611031
273	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167610870	167611031	167604558	167604661	167729018	167729135
274	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167729018	167729135	167604558	167604661	168124004	168124290
275	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167897541	167897638	167729018	167729135	168122785	168123330
276	"ENSMUSG00000049176.16"	"Frmpd4"	chrX	-	167897541	167897638	167729018	167729135	168124004	168124290
278	"ENSMUSG00000025742.5"	"Prps2"	chrX	-	167350514	167350674	167346321	167348998	167352135	167352309
283	"ENSMUSG00000040586.8"	"Ofd1"	chrX	-	166424975	166425082	166414975	166415095	166426819	166426993
284	"ENSMUSG00000040586.8"	"Ofd1"	chrX	-	166435334	166435535	166431801	166431870	166440028	166440127
285	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166353564	166353684	166238971	166239136	166367027	166367174
286	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166353564	166353684	166238971	166239136	166372637	166372824
289	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166367027	166367174	166238971	166239136	166372637	166372824
292	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166372637	166372824	166238910	166239136	166375632	166375789
293	"ENSMUSG00000031342.17"	"Gpm6b"	chrX	+	166383934	166384000	166382448	166382522	166386951	166388988
297	"ENSMUSG00000040621.14"	"Gemin8"	chrX	+	166180352	166180809	166178422	166178830	166189243	166189342
298	"ENSMUSG00000040621.14"	"Gemin8"	chrX	+	166180445	166180809	166178791	166178830	166189243	166189820
299	"ENSMUSG00000018589.8"	"Glra2"	chrX	-	165254220	165254358	165252219	165252434	165257105	165257188
300	"ENSMUSG00000018589.8"	"Glra2"	chrX	-	165289598	165289666	165281822	165282046	165324500	165324634
301	"ENSMUSG00000061778.10"	"Mospd2"	chrX	-	164962051	164962206	164955833	164958816	164979993	164980063
302	"ENSMUSG00000061778.10"	"Mospd2"	chrX	-	164963926	164964013	164960917	164962206	164964981	164965137
303	"ENSMUSG00000061778.10"	"Mospd2"	chrX	-	164964981	164965137	164960917	164962206	164979993	164980063
310	"ENSMUSG00000031379.13"	"Pir"	chrX	+	164271602	164271731	164269430	164269677	164280128	164280221
311	"ENSMUSG00000031379.13"	"Pir"	chrX	+	164295914	164295998	164280128	164280221	164300223	164300430
312	"ENSMUSG00000031379.13"	"Pir"	chrX	+	164307203	164307321	164300223	164300430	164330014	164330099
313	"ENSMUSG00000031379.13"	"Pir"	chrX	+	164342473	164342518	164330014	164330099	164358147	164358230
314	"ENSMUSG00000031379.13"	"Pir"	chrX	+	164358147	164358230	164342473	164342518	164369045	164369112
315	"ENSMUSG00000015405.15"	"Ace2"	chrX	+	164175261	164175384	164174074	164174173	164175812	164175985
317	"ENSMUSG00000031367.15"	"Ap1s2"	chrX	+	163916474	163916583	163911328	163911507	163917705	163917843
318	"ENSMUSG00000031367.15"	"Ap1s2"	chrX	+	163920905	163921000	163917705	163917843	163931362	163931371
321	"ENSMUSG00000031367.15"	"Ap1s2"	chrX	+	163931362	163931371	163920905	163921000	163932132	163933666
324	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	162903433	162903638	162901631	162901747	162910008	162910179
325	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	162903433	162903638	162901768	162901914	162910008	162910179
327	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	162931626	162931759	162927404	162927556	162934286	162934375
328	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	162975182	162975279	162941800	162941844	162996704	162996760
329	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	163011061	163011206	162975182	162975279	163029766	163029878
330	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162787558	162787678	162786616	162786691	162790611	162790806
331	"ENSMUSG00000038344.14"	"Txlng"	chrX	-	162811535	162811595	162811291	162811388	162829238	162829454
335	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160523271	160523430	160502433	160502904	160527729	160527776
338	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160543633	160543687	160541368	160541515	160544211	160544334
339	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160552712	160552820	160549174	160549270	160554300	160554379
341	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160582966	160582996	160581160	160581279	160584463	160584517
342	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160584463	160584517	160581160	160581279	160586778	160586949
343	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160590165	160590368	160588964	160589018	160590938	160591141
344	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160590167	160590368	160588964	160589018	160590938	160591141
345	"ENSMUSG00000031295.13"	"Phka2"	chrX	+	160590167	160590368	160588964	160589018	160598467	160598878
352	"ENSMUSG00000031299.10"	"Pdha1"	chrX	-	160128464	160128557	160127572	160127728	160129409	160129501
353	"ENSMUSG00000031299.10"	"Pdha1"	chrX	-	160132068	160132242	160130108	160130235	160133172	160133232
